cluster_ids	ids	response	scaled_scores	s1_score_scaled	s3_score_scaled	s1_score	s3_score	sentences				
38	38297	'4'	0.35	0.3	0.4	'4'	'3'	"La più importante nel 1980 quando cambiarono i paraurti , i comandi e le finiture."	car	6		
39	43065	'4'	0.35	0.3	0.4	'4'	'3'	Appena scelto fu scambiato dai Nuggets insieme a Rodney Rogers per arrivare a Antonio McDyess.	BasketballPlayer	7		
40	46370	'1'	-0.65	-2.7	1.4	'1'	'4'	Con la ha preso parte ai Giochi olimpici 1980 e ai FIBA EuroBasket 1983 .	BasketballPlayer	7		
41	43599	'5'	0.85	1.3	0.4	'5'	'3'	L 11 luglio 2017 rinnovò il suo contratto con i Pistons per altri 2 anni.	BasketballPlayer	7		
42	44075	'4'	-0.15	0.3	-0.6	'4'	'2'	"Lasciati gli Hornets, dal 1991 al 2001 fu capo allenatore dei Golden State Warriors."	BasketballPlayer	7		
43	45817	'5'	1.35	1.3	1.4	'5'	'4'	L 8 aprile 2009 DeRozan annuncia che entrerà a far parte del Draft NBA.	BasketballPlayer	7		
44	42957	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Terminò la carriera universitaria con 1.344 punti , 804 rimbalzi e con il 51,5% al tiro."	BasketballPlayer	7		
45	49504	'1'	-1.15	-2.7	0.4	'1'	'3'	"Farrell, oltre ad essere un evidente omaggio a ""Uomini e topi"" di John Steinbeck."	Book	8		
46	51680	'5'	0.35	1.3	-0.6	'5'	'2'	Joey è un ragazzo comune che frequenta le scuole superiori nella cittadina di Greenville.	Book	8		
47	48769	'4'	0.85	0.3	1.4	'4'	'4'	Il romanzo si svolge nell arco degli ultimi sette giorni di gravidanza di Sara.	Book	8		
48	51850	'4'	0.35	0.3	0.4	'4'	'3'	"Vento scomposto è il quarto romanzo di Simonetta Agnello Hornby, pubblicato in Italia nel 2009."	Book	8		
49	52326	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Un antica copia del ""Codex Amiatinus"" è tutt oggi la Bibbia personale del Papa."	Book	8		
50	49566	'5'	0.35	1.3	-0.6	'5'	'2'	"Secondo Nielsen BookScan, il romanzo ha venduto ventinovemila copie tra il 2001 e il 2005."	Book	8		
51	49018	'4'	-0.65	0.3	-1.6	'4'	'1'	"Fu rivisto e adattato agli altri racconti, quando fu inserito nella raccolta ""Mulliner Nights""."	Book	8		
52	51090	'4'	0.85	0.3	1.4	'4'	'4'	Chiama la signorina Holland e la incarica di far spedire la missiva a T.	Book	8		
53	53645	'2'	-1.15	-1.7	-0.6	'2'	'2'	"In questo caso si verificheranno contrapposizioni violente fra Stati, religioni, entità terroristiche e pirati privati."	Book	8	3	
54	55957	'3'	-0.65	-0.7	-0.6	'3'	'2'	"È divisa in due parti, corrispondenti al salone a sinistra ed all albergo a destra."	Building	9		
55	54167	'5'	0.35	1.3	-0.6	'5'	'2'	"Quindi, passando attraverso diversi proprietari, giunse ad essere la sede odierna della Guardia di Finanza."	Building	9		
56	55580	'2'	-1.7	-1.7		'2'	[]	Oggi la villa ospita il Comando Militare Esercito Friuli Venezia Giulia con adiacente Circolo Ufficiali.	Building	9		
57	57855	'4'	0.3	0.3		'4'	[]	"Kysor, era in origine un hotel e si trova al 430 di North Main Street."	Building	9		
58	54949	'5'	0.85	1.3	0.4	'5'	'3'	"Il giardino, oggi ridotto e molto modificato rispetto al passato, fu progettato da Enrico Combi."	Building	9		
59	60115	'5'	-0.15	1.3	-1.6	'5'	'1'	"Oltre all inglese e al filippino, conosce anche l italiano, lo spagnolo e il francese."	Cardinal	9		
60	62794	'2'	-0.65	-1.7	0.4	'2'	'3'	"È sepolto nell atrio della Basilica di Santa Maria in Trastevere, suo titolo cardinalizio."	Cardinal	10		
61	65305	'4'	-0.15	0.3	-0.6	'4'	'2'	Dopo pochi giorni rifiutò la promozione al cardinalato preferendo rimanere solo vescovo di Tropea.	Cardinal	10		
62	60280	'3'	-0.15	-0.7	0.4	'3'	'3'	"Si formò presso l università di Padova, di cui in seguito fu anche Riformatore."	Cardinal	10		
63	60637	'5'	0.85	1.3	0.4	'5'	'3'	Fu ordinato vescovo a Roma l 8 giugno 1549 dal cardinale Juan Álvarez de Toledo.	Cardinal	10		
64	62888	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Il 14 aprile 1577 fu eletto vescovo di Fermo, nonostante non fosse ancora stato ordinato."	Cardinal	10		
65	68783	'4'	-0.15	0.3	-0.6	'4'	'2'	"Con una magnitudine apparente di +3,84 è la dodicesima stella più brillante della costellazione."	Star	11		
66	69371	'3'	0.35	-0.7	1.4	'3'	'4'	"57 Ceti è una stella gigante rossa di magnitudine 5,46 situata nella costellazione della Balena."	Star	11		
67	71958	'4'	0.85	0.3	1.4	'4'	'4'	"HD 197540 è una stella gigante gialla di magnitudine 6,5 situata nella costellazione del Capricorno."	Star	11		
68	66347	'4'	0.35	0.3	0.4	'4'	'3'	"HD 30197 è una stella gigante arancione di magnitudine +5,99 situata nella costellazione del Toro."	Star	11		
69	70680	'4'	-0.15	0.3	-0.6	'4'	'2'	"Phi1 Orionis è una stella gigante azzurra di magnitudine 4,4 situata nella costellazione di Orione."	Star	11		
70	70585	'2'	-0.15	-1.7	1.4	'2'	'4'	"GO Andromedae è una stella variabile di magnitudine 6,12 situata nella costellazione di Andromeda."	Star	11		
71	73125	'3'	-0.65	-0.7	-0.6	'3'	'2'	Il confronto con l urea ricavata dall urina lo convinse di aver sintetizzato quel composto.	ChemicalCompound	12		
72	74564	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Alprazolam è ampiamente metabolizzato nell organismo umano, in particolare grazie al citocromo P450 3A4 ."	ChemicalCompound	12		
73	74179	'1'	-0.65	-2.7	1.4	'1'	'4'	È un sistema biciclico costituito da un anello ciclopentano fuso ad un anello ciclopropano.	ChemicalCompound	12		
74	75586	'2'	-1.15	-1.7	-0.6	'2'	'2'	La biodisponibilità assoluta della molecola dopo somministrazione per os è all incirca del 70%.	ChemicalCompound	12		
75	74697	'4'	-0.15	0.3	-0.6	'4'	'2'	La concentrazione plasmatica massima viene raggiunta in genere entro 2-4 ore dall assunzione della molecola.	ChemicalCompound	12		
76	74639	'2'	-0.65	-1.7	0.4	'2'	'3'	"Esposizioni a lungo termine a solventi contenenti pseudocumene, può causare nervosia, tensione e bronchiti."	ChemicalCompound	12		
77	80688	'4'	0.35	0.3	0.4	'4'	'3'	"Si sposò con Rosalind Turner , dalla quale ebbe due figli: James, scrittore, e Rebecca."	ChristianBishop	13		
78	82891	'4'	0.35	0.3	0.4	'4'	'3'	Il 6 dicembre 2017 ha preso possesso del titolo cardinalizio di Santa Maria degli Angeli.	ChristianBishop	13		
79	78469	'4'	-0.65	0.3	-1.6	'4'	'1'	"Nel 1909 è stato insignito di un ""Master of Arts"" ""honoris causa"" dall Hobart College."	ChristianBishop	13		
80	80876	'3'	0.35	-0.7	1.4	'3'	'4'	Nel 1693 ricevette il suddiaconato e solo il 5 giugno 1700 prese gli ordini sacri.	ChristianBishop	13		
81	86750	'4'	-0.65	0.3	-1.6	'4'	'1'	KG è un azienda di dolciumi tedesca con sede a Bonn nel quartiere Kessenich.	ChristianBishop	13	-1	
82	89591	'1'	-2.15	-2.7	-1.6	'1'	'1'	Nel luglio del 2006 l intera azienda fu acquistata dal gruppo Perfetti Van Melle.	Company	14		
83	84440	'3'	-0.15	-0.7	0.4	'3'	'3'	"Nel 2002 Accenture è stata premiata per la sua operazione di rebranding dalla ""Arthur W."	Company	14		
84	89302	'4'	0.35	0.3	0.4	'4'	'3'	Dopo la rivoluzione di velluto del 1989 l azienda diventa società per azioni nel 1990.	Company	14		
85	87586	'4'	-0.15	0.3	-0.6	'4'	'2'	La società viene fondata nel 1967 da Reinhold e Robert Spieldiener e da Ali Saiko.	Company	14		
86	89720	'4'	0.35	0.3	0.4	'4'	'3'	L etichetta è stata chiusa nel mese di febbraio del 2009 per problemi finanziari.	Company	14		
87	91446	'5'	0.35	1.3	-0.6	'5'	'2'	"In questo settore, come del resto in tanti altri, le privatizzazioni sono state limitate."	Company	14		
88	93115	'3'	-0.15	-0.7	0.4	'3'	'3'	"Ne scaturì una sanguinosa guerra di secessione tra estoni, aiutati dagli Stati occidentali, e russi."	Country	15		
89	94658	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Il Paraguay è uno degli stati aderenti alla Banca del Sud, partecipando al suo capitale."	Country	15		
90	94797	'5'	0.85	1.3	0.4	'5'	'3'	Si tratta di una storia d amore scritta intorno al 1600 da Vitsentzos Kornaros .	Country	15		
91	93053	'5'	0.35	1.3	-0.6	'5'	'2'	"A sua volta ogni comune si divide in cantoni, attualmente sono presenti 989 cantoni."	Country	15		
92	93254	'4'	0.35	0.3	0.4	'4'	'3'	"Storicamente, la RDC è stata dominata dalla politica del partito unico dell uomo forte."	Country	15		
93	98506	'3'	0.35	-0.7	1.4	'3'	'4'	"I traguardi volanti hanno continuato ad assegnare abbuoni di 6 , 4 e 2 secondi ."	Country	15		
94	97941	'4'	0.35	0.3	0.4	'4'	'3'	"Presero il via da Compiègne 186 ciclisti, 92 di essi portarono a termine la gara."	CyclingCompetition	16		
95	100002	'3'	-0.15	-0.7	0.4	'3'	'3'	"Fu vinta dall italiano Daniele Contrini, al traguardo con il tempo di 4h19 41""."	CyclingCompetition	16		
96	101156	'1'	-1.15	-2.7	0.4	'1'	'3'	A pochi km dal traguardo si forma un gruppo di una quindicina di corridori.	CyclingCompetition	16		
97	96348	'5'	-0.15	1.3	-1.6	'5'	'1'	"Il tedesco Bert Grabsch dominò la gara, mantenendo una velocità media di 50 km/h."	CyclingCompetition	16		
98	98529	'2'	-0.15	-1.7	1.4	'2'	'4'	Partenza a Sint-Niklaas con 185 corridori di cui 111 portarono a termine il percorso.	CyclingCompetition	16		
99	107981	'5'	0.35	1.3	-0.6	'5'	'2'	"Nel 2012 ritorna in Spagna alla Movistar, che aveva lasciato al termine del 2008."	CyclingCompetition	16		
100	104063	'4'	0.35	0.3	0.4	'4'	'3'	Sempre tra i dilettanti fece suo il titolo iridato della cronosquadre nel 1974 a Montréal.	Cyclist	17		
101	106656	'5'	0.35	1.3	-0.6	'5'	'2'	La principale vittoria da professionista fu un tappa al Giro d Italia nel 1951.	Cyclist	17		
102	106903	'1'	-0.65	-2.7	1.4	'1'	'4'	"Professionista tra il 1926 ed il 1930, conta la vittoria di una Tre Valli Varesine."	Cyclist	17		
103	104720	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Passò professionista all inizio del 2010, quando venne messo sotto contratto dalla Liquigas-Doimo, squadra ProTour."	Cyclist	17		
104	106840	'5'	0.85	1.3	0.4	'5'	'3'	Vinse anche una tappa al Giro di Svizzera nel 1946 e la Zurigo-Losanna nel 1947.	Cyclist	17		
105	108115	'3'	0.35	-0.7	1.4	'3'	'4'	L ordine dispone dell unica classe di membro che dà diritto al post nominale DUK.	Cyclist	17		
106	112894	'5'	0.85	1.3	0.4	'5'	'3'	Tutte le medaglie vengono conferite in forma originale dal Dipartimento della Difesa degli Stati Uniti.	Decoration	18		
107	112884	'3'	-0.65	-0.7	-0.6	'3'	'2'	"La prima regolamentazione organica dell onorificenza è stata approvata col ""Decret"" 22 giugno 2004, n."	Decoration	18		
108	108700	'3'	-0.15	-0.7	0.4	'3'	'3'	Segue l elenco degli insigniti dell ordine di Massimiliano per le scienze e le arti.	Decoration	18		
109	112714	'5'	-0.15	1.3	-1.6	'5'	'1'	L<nowiki> </nowiki>Ordine dei santi patroni d Italia fu un ordine cavalleresco della Repubblica sociale italiana.	Decoration	18		
110	112553	'4'	-0.15	0.3	-0.6	'4'	'2'	Sul retro la medaglia presenta un gladio romano attorniato da una corona d alloro.	Decoration	18		
111	113701	'1'	-1.65	-2.7	-0.6	'1'	'2'	Questi è oggi stato canonizzato dalla chiesa ortodossa ed è lodato come eroe nazionale.	Decoration	18		
112	118531	'4'	-0.15	0.3	-0.6	'4'	'2'	"Sede vescovile è la città di Nyahururu, dove si trova la cattedrale di Maria Immacolata."	Diocese	19		
113	117120	'5'	-0.15	1.3	-1.6	'5'	'1'	"Sede vescovile è la città di Litoměřice, dove si trova la cattedrale di Santo Stefano."	Diocese	19		
114	117247	'5'	-0.15	1.3	-1.6	'5'	'1'	Il territorio della diocesi si estende su 43.110 km2 ed è suddiviso in 4 parrocchie.	Diocese	19		
115	114247	'5'	0.35	1.3	-0.6	'5'	'2'	"Sede vescovile è la città di Oslo, dove si trova la cattedrale di Sant Olav."	Diocese	19		
116	118574	'3'	-0.15	-0.7	0.4	'3'	'3'	"La diocesi comprende la città di Sebenico, dove si trova la cattedrale di San Giacomo."	Diocese	19		
117	119373	'5'	-0.15	1.3	-1.6	'5'	'1'	"Sede vescovile è la città di Ica, dove si trova la cattedrale di San Gerolamo."	Diocese	19		
118	121123	'3'	-0.65	-0.7	-0.6	'3'	'2'	Per quanto riguarda l origine della viremia esiste la suddivisione fra forma attiva e passiva:		20		
119	123522	'5'	0.35	1.3	-0.6	'5'	'2'	In Danimarca l incidenza è più elevata e raggiunge i 41 casi per 100.000 persone.		20		
120	125570	'5'	0.35	1.3	-0.6	'5'	'2'	La malattia di Crohn aumenta anche il rischio di cancro nella zona di infiammazione.		20		
121	120550	'5'	0.35	1.3	-0.6	'5'	'2'	La prima descrizione nota di ipopituitarismo è stata fatta dal medico patologo tedesco Morris Simmonds.		20		
122	122152	'4'	0.85	0.3	1.4	'4'	'4'	Il margine prossimale deve essere una zona del colon flessibile e senza ipertrofia o infiammazione.		20		
123	120264	'2'	-0.65	-1.7	0.4	'2'	'3'	Nel caso che i villi coriali riescano a penetrare il miometrio viene definita placenta increta.		20		
124	130126	'5'	0.85	1.3	0.4	'5'	'3'	Il cão de água português è una razza di cane d acqua di origine portoghese.		21		
125	130678	'3'	-0.65	-0.7	-0.6	'3'	'2'	Il cane da orso della Carelia è un cane da caccia della famiglia degli spitz.		21		
126	130479	'4'	-0.15	0.3	-0.6	'4'	'2'	Il Västgötaspets è un cane di piccole dimensioni ma con un carattere molto forte.		21		
127	130302	'3'	0.85	-0.7	2.4	'3'	'5'	"Al passo molti springer ambiano: il che non è difetto, ma tipico della razza."		21		
128	128022	'5'	0.35	1.3	-0.6	'5'	'2'	"Non necessita di particolari cure, una spazzolata periodica contribuisce ad eliminare il pelo morto."		21		
129	131874	'5'	-0.15	1.3	-1.6	'5'	'1'	È un cane di piccola taglia caratterizzato da un lungo pelo liscio e pesante.		21		
130	134823	'5'	0.85	1.3	0.4	'5'	'3'	I Rutuli sono un gruppo etnico situato in Daghestan e in alcune località dell Azerbaigian.	EthnicGroup	22		
131	134281	'3'	-0.15	-0.7	0.4	'3'	'3'	Le elezioni al Kurultaj che coinvolgono tutta la popolazione tatara avvengono ogni cinque anni.	EthnicGroup	22		
132	132960	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Chiaramente, la tribù trae ancora grande orgoglio dalla sua prodezza e dal suo valore militari."	EthnicGroup	22		
133	134137	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Era comune praticare la poligamia e durante i primi anni di matrimonio, la residenza uxorilocale ."	EthnicGroup	22		
134	136760	'5'	0.35	1.3	-0.6	'5'	'2'	L espandersi del fenomeno costrinse alla mobilitazione sia le autorità francesi che quelle siamesi.	EthnicGroup	22	-1	
135	141928	[]	1.4		1.4	[]	'4'	"Nella prima scena dello ""Stage 1"" , C.C. osserva il piccolo Lelouch indossando proprio abiti giapponesi."	FictionalCharacter	23		
136	139024	'5'	0.85	1.3	0.4	'5'	'3'	"Tuttavia, durante la guerra tra Rann e Thanagar, i due inizieranno una relazione sentimentale."	FictionalCharacter	23		
137	140755	'3'	0.35	-0.7	1.4	'3'	'4'	Persino Ryuken lo ritiene dotato di grande talento pari a quello di Toki e Raoul.	FictionalCharacter	23		
138	142153	'2'	-0.15	-1.7	1.4	'2'	'4'	"Questo difettò portò ad odiare il clone di Peter privo di difetti, Ben Reilly."	FictionalCharacter	23		
139	138428	'4'	0.35	0.3	0.4	'4'	'3'	"L incontro con Jimmy Darmody durante una visita ai veterani, gli cambia la vita."	FictionalCharacter	23		
140	143723	'5'	0.35	1.3	-0.6	'5'	'2'	"Il corno viene recuperato dai soldati di Gondor, spezzato in due, e portato dal Sovrintendente."	FictionalCharacter	23		
141	143955	'5'	0.35	1.3	-0.6	'5'	'2'	Costruisce poi una nuova spada laser blu come simbolo della sua promozione al Consiglio Jedi .	FictionalCharacter	23		
142	141664	'1'	-1.15	-2.7	0.4	'1'	'3'	"Per Nancy Enright, Boromir è lo stereotipo tradizionale del potere maschile, mentre Ralph C."	FictionalCharacter	23	2	
143	146607	'5'	0.35	1.3	-0.6	'5'	'2'	La serpe di Zanzibar è un film muto del 1928 diretto da Tod Browning.	1	24		
144	144631	'5'	1.35	1.3	1.4	'5'	'4'	Follie del cinema è un film del 1932 diretto da Clyde Bruckman. con Harold Lloyd. .	2	24		
145	146536	'4'	-0.15	0.3	-0.6	'4'	'2'	By the Sad Sea Waves è un cortometraggio muto del 1917 diretto da Alfred J.	3	24		
146	145516	'4'	-0.15	0.3	-0.6	'4'	'2'	Aida è un cortometraggio muto del 1911 diretto da Oscar Apfel e da J.	4	24		
147	146038	'4'	-0.65	0.3	-1.6	'4'	'1'	"Distribuito dalla V-L-S-E, il film uscì nelle sale cinematografiche USA il 1o novembre 1915."	5	24		
148	148253	'2'	-0.65	-1.7	0.4	'2'	'3'	Il film - un cortometraggio a una bobina - fu prodotto dalla Société des Etablissements L.	6	24		
149	151201	'3'	-0.15	-0.7	0.4	'3'	'3'	"Infatti l edizione originale di ""D&D"" raccomandava al lettore il possesso di una copia ""Chainmail""."	1	25		
150	151275	'4'	0.35	0.3	0.4	'4'	'3'	L ambientazione è stata concessa in licenza due volte per giochi di carte collezionabili.	2	25		
151	151677	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Nel 1990 la TSR pubblicò una seconda edizione del gioco, etichettandola erroneamente come terza edizione.."	3	25		
152	151360	'4'	0.85	0.3	1.4	'4'	'4'	"Nel 1998 ""Delta Green"" vinse l Origins Award per il ""Best Roleplaying Supplement of 1997""."	4	25		
153	152181	'4'	-0.15	0.3	-0.6	'4'	'2'	Il gioco è stato creato dal matematico Alain Rivollet e dall informatico Gaëtan Beaujannot.	5	25		
154	154098	'3'	-0.65	-0.7	-0.6	'3'	'2'	La Grenadier Miniatures supportò il gioco con una linea di miniature prodotte su licenza.	6	25		
155	156613	'5'	0.35	1.3	-0.6	'5'	'2'	Bathgate ritornò in NHL per un ultima stagione ancora con i Penguins nel 1971.	1	26		
156	159039	'4'	-0.15	0.3	-0.6	'4'	'2'	Fu scelto nell Amateur Draft del 1963 dai Toronto Maple Leafs in ventunesima posizione.	2	26		
157	160773	'4'	-0.15	0.3	-0.6	'4'	'2'	Il 20 luglio 2012 Fayne prolungò per altre due stagioni con i New Jersey Devils.	3	26		
158	159661	'3'	-0.65	-0.7	-0.6	'3'	'2'	Il suo primo gol in NHL arrivò il 12 novembre 2005 contro i Dallas Stars.	4	26		
159	157738	'3'	-0.15	-0.7	0.4	'3'	'3'	Con Viacheslav Fetisov abbatté la barriera che bloccava i giocatori sovietici dal giocare nella NHL.	5	26		
160	158314	'5'	0.35	1.3	-0.6	'5'	'2'	Nella stagione successiva Hay e i Black Hawks raggiunsero la finale della Stanley Cup.	6	26		
161	164306	'4'	0.35	0.3	0.4	'4'	'3'	"A nord l isola viene attraversata dal Ponte Massimiliano, che porta verso il Maximilianeum."	Island	27		
162	164873	'3'	-0.15	-0.7	0.4	'3'	'3'	"Contrariamente alla vasta area coperta dall arcipelago, copre una superficie terrestre di soli 885 km2."	Island	27		
163	166881	'5'	0.85	1.3	0.4	'5'	'3'	"La città più grande è Kaunakakai, che è anche uno dei due porti sull isola."	Island	27		
164	166037	'4'	0.35	0.3	0.4	'4'	'3'	Negli ultimi anni il turismo si propone come fonte di sostentamento dell intera isola.	Island	27		
165	166959	'5'	0.35	1.3	-0.6	'5'	'2'	Le isole Lupči sono un gruppo di quattro piccole isolette russe nel Mar Bianco.	Island	27		
166	165037	'3'	-0.65	-0.7	-0.6	'3'	'2'	Diresse la piantagione con un pugno di ferro che portò al suo omicidio nel 1904.	Island	27		
167	164509	'3'	-0.65	-0.7	-0.6	'3'	'2'	"I ""sadlermuit"" , come nella vicina isola di Southampton, si estinsero contraendo malattie dagli occidentali."	Island	27	1	
168	168701	'3'	0.35	-0.7	1.4	'3'	'4'	L Ostniederdeutsch è un gruppo di dialetti parlati prevalentemente in Germania orientale e Polonia settentrionale.	Language	28		
169	170486	'2'	-0.15	-1.7	1.4	'2'	'4'	Alcuni linguisti includono l alveniate in un gruppo dialettale alverno-limosino in comune con il limosino.	Language	28		
170	172388	'1'	-1.15	-2.7	0.4	'1'	'3'	"Però, la frase nominativa incl. l articolo, nome e aggettivo mostra tutte le possibilità:"	Language	28		
171	170821	'2'	-0.65	-1.7	0.4	'2'	'3'	"Discussione di alcuni principali processi fonologici, come di importanti allofoni o di regole di assimilazione."	Language	28		
172	172120	'3'	-0.65	-0.7	-0.6	'3'	'2'	Il numero dei suoi locutori varia fortemente in funzione della metodologia impiegata per calcolarlo.	Language	28		
173	169410	'4'	0.35	0.3	0.4	'4'	'3'	"Il vecchio alfabeto georgiano sembra sia stato derivato da quello aramaico, con influenze greche."	Language	28		
174	173312	'4'	0.85	0.3	1.4	'4'	'4'	Numerosi esempi sono stati trovati nelle carte del notaio Giacomo Zabbara risalenti al 1486-1501.	Language	28	1	
175	174722	'3'	-0.65	-0.7	-0.6	'3'	'2'	La Granja è una stazione della metropolitana di Valencia che serve la linea 4.	1	29		
176	178047	'3'	0.35	-0.7	1.4	'3'	'4'	"Da allora la stazione è il capolinea dell attuale Linea Kachovskaya, staccatasi dalla Zamoskvoreckaja."	2	29		
