cluster_ids,ids,response
178,168213,'1'
74,80876,'2'
100,99235,'1'
153,138068,'1'
348,339191,'2'
305,309461,'2'
359,359527,'1'
260,258437,'3'
320,329406,'3'
101,105399,'2'
206,203135,'5'
42,37254,'3'
102,102418,'2'
32,25458,'1'
36,28048,'2'
169,159175,'1'
285,286741,'1'
82,90472,'2'
261,262116,'1'
337,339327,'1'
137,130250,'1'
205,198358,'2'
143,130292,'3'
133,127824,'1'
7,11427,'2'
25,19451,'2'
52,60597,'1'
203,201966,'4'
65,69876,'2'
77,84440,'2'
110,108948,'3'
208,206883,'2'
216,212005,'2'
90,98853,'2'
72,78030,'1'
185,174202,'1'
30,18633,'3'
307,309766,'2'
151,141163,'2'
199,200544,'4'
380,381773,'2'
70,72431,'3'
259,252410,'1'
59,70438,'4'
211,208512,'1'
207,201546,'4'
244,239687,'1'
29,19629,'1'
138,130845,'1'
57,62233,'1'
201,202018,'3'
360,359959,'2'
301,306097,'3'
5,6525,'2'
250,242438,'1'
103,107804,'2'
183,175416,'2'
87,99053,'2'
361,359244,'1'
370,360182,'1'
27,18102,'1'
303,308443,'2'
331,332264,'3'
329,335598,'3'
379,382285,'3'
247,239906,'2'
162,145920,'1'
373,376808,'2'
144,134906,'3'
112,113281,'2'
271,274401,'1'
20,22228,'2'
198,196530,'1'
18,13333,'1'
88,97949,'2'
295,299004,'1'
292,288350,'1'
287,282085,'2'
8,10682,'3'
306,308704,'1'
291,286864,'2'
188,175255,'2'
346,339192,'3'
165,153879,'2'
99,101856,'2'
66,72726,'2'
125,122755,'2'
61,67619,'4'
345,337337,'2'
363,360599,'3'
45,36302,'2'
267,269908,'1'
286,284647,'2'
215,214439,'3'
28,20280,'2'
114,114050,'2'
23,22950,'2'
263,265633,'1'
47,53064,'1'
239,233266,'2'
43,39742,'1'
117,114580,'1'
158,149666,'1'
265,266458,'2'
107,110903,'2'
116,116304,'2'
202,199623,'4'
44,40127,'2'
381,378128,'1'
350,338668,'1'
213,207592,'1'
289,282504,'3'
163,147945,'2'
248,241723,'1'
131,124825,'1'
157,146808,'1'
14,6331,'2'
172,166000,'1'
222,217321,'1'
372,373868,'2'
200,202068,'4'
130,122677,'3'
84,90160,'1'
264,268083,'3'
283,280075,'2'
78,89210,'3'
129,123793,'2'
233,228602,'1'
