cluster_ids,ids,scaled_scores,unscaled_scores,s1_score_scaled,s3_score_scaled,s1_score,s3_score,s1_unscaled_score,s3_unscaled_score,category_id,category_name,sentences
27,35224,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,5,AthleticsPlayer,Nel giugno del 2015 arriva secondo nell'Europeo per nazioni svoltosi a Čeboksary in Russia.
28,35875,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,5,AthleticsPlayer,"Dopo questo viaggio avventuroso di ventotto giorni, Airoldi, tuttavia, non poté partecipare alla maratona."
29,34271,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,5,AthleticsPlayer,"Agli europei indoor di Atene del 1985 concluse terzo con un lancio a 21,23 metri."
30,34567,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,5,AthleticsPlayer,Nel 2000 prese parte ai Giochi olimpici di Sydney ottenendo il quattordicesimo posto nell'eptathlon.
31,31262,-0.65,2.5,0.3,-1.6,'4','1',4.0,1.0,5,AthleticsPlayer,"Figlia unica, ha cominciato a praticare atletica leggera all'età di 12 anni nel 2003."
32,33300,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,5,AthleticsPlayer,"Nel 2006, ad Atene, ha preso parte ai 3000m piani della Coppa del Mondo."
33,40074,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,6,Automobile,Tale configurazione telaistica ha permesso l'ottenimento di un peso inferiore ai 950 kg.
34,39554,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,6,Automobile,Dal 2010 non viene più utilizzata ed è stata definitivamente sostituita dal nuovo telaio.
35,41627,1.35,4.5,1.3,1.4,'5','4',5.0,4.0,6,Automobile,Nel 1934 il telaio venne modificato per avere una carreggiata e un avantreno più larghi.
36,39716,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,6,Automobile,Il motore era di cilindrata piuttosto bassa per essere un 8 cilindri solo 1719cm3.
37,41916,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,6,Automobile,"La X300, inoltre, fu il primo modello XJ ad adottare i paraurti completamente in plastica."
38,38297,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,6,Automobile,"La più importante nel 1980 quando cambiarono i paraurti, i comandi e le finiture."
39,43065,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,7,BasketballPlayer,Appena scelto fu scambiato dai Nuggets insieme a Rodney Rogers per arrivare a Antonio McDyess.
40,46370,-0.6500000000000001,2.5,-2.7,1.4,'1','4',1.0,4.0,7,BasketballPlayer,Con la ha preso parte ai Giochi olimpici 1980 e ai FIBA EuroBasket 1983.
41,43599,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,7,BasketballPlayer,L 11 luglio 2017 rinnovò il suo contratto con i Pistons per altri 2 anni.
42,44075,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,7,BasketballPlayer,"Lasciati gli Hornets, dal 1991 al 2001 fu capo allenatore dei Golden State Warriors."
43,45817,1.35,4.5,1.3,1.4,'5','4',5.0,4.0,7,BasketballPlayer,L 8 aprile 2009 DeRozan annuncia che entrerà a far parte del Draft NBA.
44,42957,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,7,BasketballPlayer,"Terminò la carriera universitaria con 1.344 punti, 804 rimbalzi e con il 51,5% al tiro."
45,49504,-1.1500000000000001,2.0,-2.7,0.4,'1','3',1.0,3.0,8,Book,"Farrell, oltre ad essere un evidente omaggio a Uomini e topi di John Steinbeck."
46,51680,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,8,Book,Joey è un ragazzo comune che frequenta le scuole superiori nella cittadina di Greenville.
47,48769,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,8,Book,Il romanzo si svolge nell'arco degli ultimi sette giorni di gravidanza di Sara.
48,51850,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,8,Book,"Vento scomposto è il quarto romanzo di Simonetta Agnello Hornby, pubblicato in Italia nel 2009."
49,52326,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,8,Book,Un antica copia del Codex Amiatinus è tutt oggi la Bibbia personale del Papa.
50,49566,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,8,Book,"Secondo Nielsen BookScan, il romanzo ha venduto ventinovemila copie tra il 2001 e il 2005."
51,49018,-0.65,2.5,0.3,-1.6,'4','1',4.0,1.0,8,Book,"Fu rivisto e adattato agli altri racconti, quando fu inserito nella raccolta Mulliner Nights."
52,51090,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,8,Book,Chiama la signorina Holland e la incarica di far spedire la missiva a T.
53,53645,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,8,Book,"In questo caso si verificheranno contrapposizioni violente fra Stati, religioni, entità terroristiche e pirati privati."
54,55957,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,9,Building,"È divisa in due parti, corrispondenti al salone a sinistra ed all'albergo a destra."
55,54167,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,9,Building,"Quindi, passando attraverso diversi proprietari, giunse ad essere la sede odierna della Guardia di Finanza."
56,55580,-1.7,2.0,-1.7,,'2',[],2.0,,9,Building,Oggi la villa ospita il Comando Militare Esercito Friuli Venezia Giulia con adiacente Circolo Ufficiali.
57,57855,0.3,4.0,0.3,,'4',[],4.0,,9,Building,"Kysor, era in origine un hotel'e si trova al 430 di North Main Street."
58,54949,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,9,Building,"Il giardino, oggi ridotto e molto modificato rispetto al passato, fu progettato da Enrico Combi."
59,60115,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,10,Cardinal,"Oltre all'inglese e al filippino, conosce anche l'italiano, lo spagnolo e il francese."
60,62794,-0.6499999999999999,2.5,-1.7,0.4,'2','3',2.0,3.0,10,Cardinal,"È sepolto nell'atrio della Basilica di Santa Maria in Trastevere, suo titolo cardinalizio."
61,65305,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,10,Cardinal,Dopo pochi giorni rifiutò la promozione al cardinalato preferendo rimanere solo vescovo di Tropea.
62,60280,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,10,Cardinal,"Si formò presso l'università di Padova, di cui in seguito fu anche Riformatore."
63,60637,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,10,Cardinal,Fu ordinato vescovo a Roma l 8 giugno 1549 dal cardinale Juan Álvarez de Toledo.
64,62888,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,10,Cardinal,"Il 14 aprile 1577 fu eletto vescovo di Fermo, nonostante non fosse ancora stato ordinato."
65,68783,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,11,CelestialBody,"Con una magnitudine apparente di +3,84 è la dodicesima stella più brillante della costellazione."
66,69371,0.35,3.5,-0.7,1.4,'3','4',3.0,4.0,11,CelestialBody,"57 Ceti è una stella gigante rossa di magnitudine 5,46 situata nella costellazione della Balena."
67,71958,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,11,CelestialBody,"HD 197540 è una stella gigante gialla di magnitudine 6,5 situata nella costellazione del Capricorno."
68,66347,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,11,CelestialBody,"HD 30197 è una stella gigante arancione di magnitudine +5,99 situata nella costellazione del Toro."
69,70680,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,11,CelestialBody,"Phi1 Orionis è una stella gigante azzurra di magnitudine 4,4 situata nella costellazione di Orione."
70,70585,-0.15000000000000002,3.0,-1.7,1.4,'2','4',2.0,4.0,11,CelestialBody,"GO Andromedae è una stella variabile di magnitudine 6,12 situata nella costellazione di Andromeda."
71,73125,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,12,ChemicalCompound,Il confronto con l'urea ricavata dall'urina lo convinse di aver sintetizzato quel composto.
72,74564,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,12,ChemicalCompound,"Alprazolam è ampiamente metabolizzato nell'organismo umano, in particolare grazie al citocromo P450 3A4."
73,74179,-0.6500000000000001,2.5,-2.7,1.4,'1','4',1.0,4.0,12,ChemicalCompound,È un sistema biciclico costituito da un anello ciclopentano fuso ad un anello ciclopropano.
74,75586,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,12,ChemicalCompound,La biodisponibilità assoluta della molecola dopo somministrazione per os è all'incirca del 70%.
75,74697,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,12,ChemicalCompound,La concentrazione plasmatica massima viene raggiunta in genere entro 2-4 ore dall'assunzione della molecola.
76,74639,-0.6499999999999999,2.5,-1.7,0.4,'2','3',2.0,3.0,12,ChemicalCompound,"Esposizioni a lungo termine a solventi contenenti pseudocumene, può causare nervosia, tensione e bronchiti."
77,80688,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,13,ChristianBishop,"Si sposò con Rosalind Turner, dalla quale ebbe due figli James, scrittore, e Rebecca."
78,82891,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,13,ChristianBishop,Il 6 dicembre 2017 ha preso possesso del titolo cardinalizio di Santa Maria degli Angeli.
79,78469,-0.65,2.5,0.3,-1.6,'4','1',4.0,1.0,13,ChristianBishop,Nel 1909 è stato insignito di un Master of Arts honoris causa dall Hobart College.
80,80876,0.35,3.5,-0.7,1.4,'3','4',3.0,4.0,13,ChristianBishop,Nel 1693 ricevette il suddiaconato e solo il 5 giugno 1700 prese gli ordini sacri.
81,86750,-0.65,2.5,0.3,-1.6,'4','1',4.0,1.0,14,Company,KG è un azienda di dolciumi tedesca con sede a Bonn nel quartiere Kessenich.
82,89591,-2.1500000000000004,1.0,-2.7,-1.6,'1','1',1.0,1.0,14,Company,Nel luglio del 2006 l'intera azienda fu acquistata dal gruppo Perfetti Van Melle.
83,84440,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,14,Company,Nel 2002 Accenture è stata premiata per la sua operazione di rebranding dalla Arthur W.
84,89302,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,14,Company,Dopo la rivoluzione di velluto del 1989 l'azienda diventa società per azioni nel 1990.
85,87586,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,14,Company,La società viene fondata nel 1967 da Reinhold e Robert Spieldiener e da Ali Saiko.
86,89720,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,14,Company,L'etichetta è stata chiusa nel mese di febbraio del 2009 per problemi finanziari.
87,91446,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,15,Country,"In questo settore, come del resto in tanti altri, le privatizzazioni sono state limitate."
88,93115,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,15,Country,"Ne scaturì una sanguinosa guerra di secessione tra estoni, aiutati dagli Stati occidentali, e russi."
89,94658,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,15,Country,"Il Paraguay è uno degli stati aderenti alla Banca del Sud, partecipando al suo capitale."
90,94797,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,15,Country,Si tratta di una storia d amore scritta intorno al 1600 da Vitsentzos Kornaros.
91,93053,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,15,Country,"A sua volta ogni comune si divide in cantoni, attualmente sono presenti 989 cantoni."
92,93254,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,15,Country,"Storicamente, la RDC'è stata dominata dalla politica del partito unico dell'uomo forte."
93,98506,0.35,3.5,-0.7,1.4,'3','4',3.0,4.0,16,CyclingCompetition,"I traguardi volanti hanno continuato ad assegnare abbuoni di 6, 4 e 2 secondi."
94,97941,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,16,CyclingCompetition,"Presero il via da Compiègne 186 ciclisti, 92 di essi portarono a termine la gara."
95,100002,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,16,CyclingCompetition,"Fu vinta dall'italiano Daniele Contrini, al traguardo con il tempo di 4h19 41."
96,101156,-1.1500000000000001,2.0,-2.7,0.4,'1','3',1.0,3.0,16,CyclingCompetition,A pochikm dal traguardo si forma un gruppo di una quindicina di corridori.
97,96348,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,16,CyclingCompetition,"Il tedesco Bert Grabsch dominò la gara, mantenendo una velocità media di 50km/h."
98,98529,-0.15000000000000002,3.0,-1.7,1.4,'2','4',2.0,4.0,16,CyclingCompetition,Partenza a Sint-Niklaas con 185 corridori di cui 111 portarono a termine il percorso.
99,107981,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,17,Cyclist,"Nel 2012 ritorna in Spagna alla Movistar, che aveva lasciato al termine del 2008."
100,104063,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,17,Cyclist,Sempre tra i dilettanti fece suo il titolo iridato della cronosquadre nel 1974 a Montréal.
101,106656,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,17,Cyclist,La principale vittoria da professionista fu un tappa al Giro d Italia nel 1951.
102,106903,-0.6500000000000001,2.5,-2.7,1.4,'1','4',1.0,4.0,17,Cyclist,"Professionista tra il 1926 ed il 1930, conta la vittoria di una Tre Valli Varesine."
103,104720,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,17,Cyclist,"Passò professionista all'inizio del 2010, quando venne messo sotto contratto dalla Liquigas-Doimo, squadra ProTour."
104,106840,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,17,Cyclist,Vinse anche una tappa al Giro di Svizzera nel 1946 e la Zurigo-Losanna nel 1947.
105,108115,0.35,3.5,-0.7,1.4,'3','4',3.0,4.0,18,Decoration,L'ordine dispone dell'unica classe di membro che dà diritto al post nominale DUK.
106,112894,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,18,Decoration,Tutte le medaglie vengono conferite in forma originale dal Dipartimento della Difesa degli Stati Uniti.
107,112884,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,18,Decoration,"La prima regolamentazione organica dell'onorificenza è stata approvata col Decret 22 giugno 2004, n."
108,108700,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,18,Decoration,Segue l'elenco degli insigniti dell'ordine di Massimiliano per le scienze e le arti.
109,112714,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,18,Decoration,L Ordine dei santi patroni d Italia fu un ordine cavalleresco della Repubblica sociale italiana.
110,112553,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,18,Decoration,Sul retro la medaglia presenta un gladio romano attorniato da una corona d alloro.
111,113701,-1.6500000000000001,1.5,-2.7,-0.6,'1','2',1.0,2.0,18,Decoration,Questi è oggi stato canonizzato dalla chiesa ortodossa ed è lodato come eroe nazionale.
112,118531,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,19,Diocese,"Sede vescovile è la città di Nyahururu, dove si trova la cattedrale di Maria Immacolata."
113,117120,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,19,Diocese,"Sede vescovile è la città di Litoměřice, dove si trova la cattedrale di Santo Stefano."
114,117247,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,19,Diocese,Il territorio della diocesi si estende su 43.110km2 ed è suddiviso in 4 parrocchie.
115,114247,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,19,Diocese,"Sede vescovile è la città di Oslo, dove si trova la cattedrale di Sant Olav."
116,118574,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,19,Diocese,"La diocesi comprende la città di Sebenico, dove si trova la cattedrale di San Giacomo."
117,119373,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,19,Diocese,"Sede vescovile è la città di Ica, dove si trova la cattedrale di San Gerolamo."
118,121123,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,20,Disease,Per quanto riguarda l'origine della viremia esiste la suddivisione fra forma attiva e passiva
119,123522,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,20,Disease,In Danimarca l'incidenza è più elevata e raggiunge i 41 casi per 100.000 persone.
120,125570,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,20,Disease,La malattia di Crohn aumenta anche il rischio di cancro nella zona di infiammazione.
121,120550,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,20,Disease,La prima descrizione nota di ipopituitarismo è stata fatta dal medico patologo tedesco Morris Simmonds.
122,122152,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,20,Disease,Il margine prossimale deve essere una zona del colon flessibile e senza ipertrofia o infiammazione.
123,120264,-0.6499999999999999,2.5,-1.7,0.4,'2','3',2.0,3.0,20,Disease,Nel caso che i villi coriali riescano a penetrare il miometrio viene definita placenta increta.
124,130126,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,21,Dog,Il cão de água português è una razza di cane d acqua di origine portoghese.
125,130678,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,21,Dog,Il cane da orso della Carelia è un cane da caccia della famiglia degli spitz.
126,130479,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,21,Dog,Il Västgötaspets è un cane di piccole dimensioni ma con un carattere molto forte.
127,130302,0.85,4.0,-0.7,2.4,'3','5',3.0,5.0,21,Dog,"Al passo molti springer ambiano il che non è difetto, ma tipico della razza."
128,128022,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,21,Dog,"Non necessita di particolari cure, una spazzolata periodica contribuisce ad eliminare il pelo morto."
129,131874,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,21,Dog,È un cane di piccola taglia caratterizzato da un lungo pelo liscio e pesante.
130,134823,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,22,EthnicGroup,I Rutuli sono un gruppo etnico situato in Daghestan e in alcune località dell'Azerbaigian.
131,134281,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,22,EthnicGroup,Le elezioni al Kurultaj che coinvolgono tutta la popolazione tatara avvengono ogni cinque anni.
132,132960,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,22,EthnicGroup,"Chiaramente, la tribù trae ancora grande orgoglio dalla sua prodezza e dal suo valore militari."
133,134137,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,22,EthnicGroup,"Era comune praticare la poligamia e durante i primi anni di matrimonio, la residenza uxorilocale."
134,136760,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,22,EthnicGroup,L'espandersi del fenomeno costrinse alla mobilitazione sia le autorità francesi che quelle siamesi.
135,141928,1.4,4.0,,1.4,[],'4',,4.0,23,FictionalCharacter,"Nella prima scena dello Stage 1, C.C. osserva il piccolo Lelouch indossando proprio abiti giapponesi."
136,139024,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,23,FictionalCharacter,"Tuttavia, durante la guerra tra Rann e Thanagar, i due inizieranno una relazione sentimentale."
137,140755,0.35,3.5,-0.7,1.4,'3','4',3.0,4.0,23,FictionalCharacter,Persino Ryuken lo ritiene dotato di grande talento pari a quello di Toki e Raoul.
138,142153,-0.15000000000000002,3.0,-1.7,1.4,'2','4',2.0,4.0,23,FictionalCharacter,"Questo difettò portò ad odiare il clone di Peter privo di difetti, Ben Reilly."
139,138428,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,23,FictionalCharacter,"L'incontro con Jimmy Darmody durante una visita ai veterani, gli cambia la vita."
140,143723,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,23,FictionalCharacter,"Il corno viene recuperato dai soldati di Gondor, spezzato in due, e portato dal Sovrintendente."
141,143955,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,23,FictionalCharacter,Costruisce poi una nuova spada laser blu come simbolo della sua promozione al Consiglio Jedi.
142,141664,-1.1500000000000001,2.0,-2.7,0.4,'1','3',1.0,3.0,23,FictionalCharacter,"Per Nancy Enright, Boromir è lo stereotipo tradizionale del potere maschile, mentre Ralph C."
143,146607,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,24,Film,La serpe di Zanzibar è un film muto del 1928 diretto da Tod Browning.
144,144631,1.35,4.5,1.3,1.4,'5','4',5.0,4.0,24,Film,Follie del cinema è un film del 1932 diretto da Clyde Bruckman. con Harold Lloyd..
145,146536,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,24,Film,By the Sad Sea Waves è un cortometraggio muto del 1917 diretto da Alfred J.
146,145516,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,24,Film,Aida è un cortometraggio muto del 1911 diretto da Oscar Apfel'e da J.
147,146038,-0.65,2.5,0.3,-1.6,'4','1',4.0,1.0,24,Film,"Distribuito dalla V-L-S-E, il film uscì nelle sale cinematografiche USA il 1o novembre 1915."
148,148253,-0.6499999999999999,2.5,-1.7,0.4,'2','3',2.0,3.0,24,Film,Il film - un cortometraggio a una bobina - fu prodotto dalla Société des Etablissements L.
149,151201,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,25,Game,Infatti l'edizione originale di D&D raccomandava al lettore il possesso di una copia Chainmail.
150,151275,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,25,Game,L'ambientazione è stata concessa in licenza due volte per giochi di carte collezionabili.
151,151677,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,25,Game,"Nel 1990 la TSR pubblicò una seconda edizione del gioco, etichettandola erroneamente come terza edizione.."
152,151360,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,25,Game,Nel 1998 Delta Green vinse l'Origins Award per il Best Roleplaying Supplement of 1997.
153,152181,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,25,Game,Il gioco è stato creato dal matematico Alain Rivollet e dall'informatico Gaëtan Beaujannot.
154,154098,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,25,Game,La Grenadier Miniatures supportò il gioco con una linea di miniature prodotte su licenza.
155,156613,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,26,IceHockeyPlayer,Bathgate ritornò in NHL per un ultima stagione ancora con i Penguins nel 1971.
156,159039,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,26,IceHockeyPlayer,Fu scelto nell'Amateur Draft del 1963 dai Toronto Maple Leafs in ventunesima posizione.
157,160773,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,26,IceHockeyPlayer,Il 20 luglio 2012 Fayne prolungò per altre due stagioni con i New Jersey Devils.
158,159661,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,26,IceHockeyPlayer,Il suo primo gol'in NHL'arrivò il 12 novembre 2005 contro i Dallas Stars.
159,157738,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,26,IceHockeyPlayer,Con Viacheslav Fetisov abbatté la barriera che bloccava i giocatori sovietici dal giocare nella NHL.
