cluster_ids,ids,scaled_scores,unscaled_scores,s2_score_scaled,s4_score_scaled,s2_score,s4_score,s2_unscaled_score,s4_unscaled_score,category_id,category_name,sentences
38,32942,0.855,2.5,2.08,-0.37,'4','1',4,1,5,AthleticsPlayer,In carriera si è laureata campionessa mondiale outdoor ed europea indoor dei 1500 metri piani.
39,30216,-0.14500000000000002,1.5,-0.92,0.63,'1','2',1,2,5,AthleticsPlayer,"2014, due volte vicecampionessa agli invernali di lanci nel disco ed agli assoluti nel peso."
40,35300,-0.145,1.5,0.08,-0.37,'2','1',2,1,5,AthleticsPlayer,Sul finire della stagione partecipò alla IAAF Grand Prix Final svoltasi questa volta a Milano.
41,36704,-0.645,1.0,-0.92,-0.37,'1','1',1,1,6,Automobile,Rispetto alla berlina a 2 porte si differenziava esteticamente per l'assenza del montante centrale.
42,37254,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,6,Automobile,"Heinrich Nordhoff e Wilhelm Karmann avviarono il progetto nel 1951, senza ottenere risultati stilisticamente convincenti."
43,39742,-0.645,1.0,-0.92,-0.37,'1','1',1,1,6,Automobile,Il freno a mano era del tipo meccanico ed agiva sulle sole ruote posteriori.
44,40127,-0.145,1.5,0.08,-0.37,'2','1',2,1,6,Automobile,"Il logo Fiat anteriore viene ridotto di un buon 30%, risultando dunque più piccolo."
45,36302,-0.145,1.5,0.08,-0.37,'2','1',2,1,6,Automobile,La Le Mans è una autovettura sportiva prodotta dalla Aston Martin dal 1932 al 1933.
46,47998,0.3549999999999999,2.0,-0.92,1.63,'1','3',1,3,7,BasketballPlayer,Prima di lui nei Celtics in gara-7 dei play-off c'era riuscito solo Larry Bird.
47,53064,-0.645,1.0,-0.92,-0.37,'1','1',1,1,8,Book,Ayesha invita i suoi ospiti ad un ballo organizzato in loro onore la sera stessa.
48,51927,-0.145,1.5,0.08,-0.37,'2','1',2,1,8,Book,Una versione cinematografica del racconto è stata prodotta da parte della H.P.Lovecraft Historical Society.
49,57044,1.355,3.0,0.08,2.63,'2','4',2,4,9,Building,quattro grandi e a sei più piccoli e furono realizzati senza riferimenti a Versailles.
50,58464,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,9,Building,"Il portego, ossia il salone da ricevimento, si sviluppa in corrispondenza della polifora di destra."
51,59990,-0.645,1.0,-0.92,-0.37,'1','1',1,1,9,Building,"Dopo gli anni del conflitto, il casinò riapri ufficialmente la sera del 31 dicembre 1945."
52,60597,-0.645,1.0,-0.92,-0.37,'1','1',1,1,10,Cardinal,Il 19 gennaio 1347 fu eletto da suo cugino papa Clemente VI arcivescovo di Saragozza.
53,65998,-0.645,1.0,-0.92,-0.37,'1','1',1,1,10,Cardinal,Optò quindi per il titolo della Santissima Trinità al Monte Pincio dal 21 luglio 1653.
54,61770,-0.645,1.0,-0.92,-0.37,'1','1',1,1,10,Cardinal,La sua salma venne inumata nella chiesa di San Carlo al Corso a Roma.
55,60280,-0.645,1.0,-0.92,-0.37,'1','1',1,1,10,Cardinal,"Si formò presso l'università di Padova, di cui in seguito fu anche Riformatore."
56,60151,-0.645,1.0,-0.92,-0.37,'1','1',1,1,10,Cardinal,Dopo l'incoronazione i due cardinali riaccompagnarono l'imperatore fino ai confini dei domini pontifici.
57,62233,-0.645,1.0,-0.92,-0.37,'1','1',1,1,10,Cardinal,Nasce a Cagliari il 23 febbraio 1926 da una nobile famiglia sarda di origine piemontese.
58,63302,-0.145,1.5,0.08,-0.37,'2','1',2,1,10,Cardinal,Il 14 dicembre 1959 fu promosso arcivescovo titolare di Emesa e arcivescovo coadiutore di Reims.
59,70438,0.855,2.5,2.08,-0.37,'4','1',4,1,11,CelestialBody,"Phi4 Ceti è una stella gigante gialla di magnitudine 5,62 situata nella costellazione della Balena."
60,67369,0.855,2.5,2.08,-0.37,'4','1',4,1,11,CelestialBody,"HD 153221 è una stella gigante gialla di magnitudine 6,02 situata nella costellazione dell'Altare."
61,67619,0.855,2.5,2.08,-0.37,'4','1',4,1,11,CelestialBody,"Psi6 Aurigae è una stella gigante arancione di magnitudine 5,22 situata nella costellazione dell'Auriga."
62,66987,-0.145,1.5,0.08,-0.37,'2','1',2,1,11,CelestialBody,"Heintz ha inoltre tentato una stima della massa totale del sistema, risultata 0,78 M."
63,68855,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,11,CelestialBody,"61 Ceti è una stella gigante gialla di magnitudine 5,96 situata nella costellazione della Balena."
64,66968,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,11,CelestialBody,"HD 73599 è una stella gigante arancione di magnitudine 6,45 situata nella costellazione del Cancro."
65,69876,-0.145,1.5,0.08,-0.37,'2','1',2,1,11,CelestialBody,"HD 72752 è una stella gigante arancione di magnitudine 6,5 situata nella costellazione delle Vele."
66,72726,-0.145,1.5,0.08,-0.37,'2','1',2,1,12,ChemicalCompound,"In tal modo viene inibita sia la formazione di trombina, sia lo sviluppo di trombi."
67,76153,-0.645,1.0,-0.92,-0.37,'1','1',1,1,12,ChemicalCompound,"Nell'industria dei derivati del petrolio viene aggiunto anche a vernici, lacche, resine e additivi."
68,74858,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,12,ChemicalCompound,È una sostanza amara e si presenta sotto forma di polvere bianca e cristallina.
69,77642,1.355,3.0,0.08,2.63,'2','4',2,4,12,ChemicalCompound,La frequenza dei DTN è anche in funzione dello stato genetico dei genitori infatti
70,72431,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,12,ChemicalCompound,In pazienti affetti da queste patologie un trattamento con ibuprofene deve essere eseguito con cautela.
71,75190,0.855,2.5,2.08,-0.37,'4','1',4,1,12,ChemicalCompound,"Dal punto di vista alimentare appartiene alla categoria degli stabilizzanti, addensanti, gelificanti ed emulsionanti."
72,78030,-0.645,1.0,-0.92,-0.37,'1','1',1,1,13,ChristianBishop,Muore in un incidente stradale per collisione con un veicolo contromano il 20 novembre 1995.
73,81492,-0.145,1.5,0.08,-0.37,'2','1',2,1,13,ChristianBishop,"Morì il 26 aprile 2005, consumato da un male che lo affliggeva da qualche tempo."
74,80876,0.855,2.5,0.08,1.63,'2','3',2,3,13,ChristianBishop,Nel 1693 ricevette il suddiaconato e solo il 5 giugno 1700 prese gli ordini sacri.
75,89774,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,14,Company,"Particolarmente importanti sono considerate anche le cravatte, realizzate secondo le antiche tradizioni dei cravattai napoletani."
76,84738,-0.145,1.5,0.08,-0.37,'2','1',2,1,14,Company,"TP-Link è stata fondata nel 1996 da due fratelli, Zhào Jiànjūn e Zhào Jiāxīng."
77,84440,-0.145,1.5,0.08,-0.37,'2','1',2,1,14,Company,Nel 2002 Accenture è stata premiata per la sua operazione di rebranding dalla Arthur W.
78,89210,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,14,Company,"Alcuni possono essere programmati con un computer per eseguire procedure complesse, i LEGO Mindstorms."
79,85481,-0.145,1.5,0.08,-0.37,'2','1',2,1,14,Company,"Il 6 agosto 2012, CEVA ha annunciato i risultati finanziari relativi al secondo trimestre 2012."
80,93716,-0.145,1.5,0.08,-0.37,'2','1',2,1,15,Country,"L'ultimo Stato ex-sovietico ad aderire alla CSI fu la Georgia, il 3 dicembre 1993."
81,91673,-0.645,1.0,-0.92,-0.37,'1','1',1,1,15,Country,Per la tutela della sicurezza la Romania si avvale di diverse forze di polizia
82,90472,0.355,2.0,0.08,0.63,'2','2',2,2,15,Country,"Non vengono usati utensili, invece si usa l'injera per raccogliere gli antipasti e contorni."
83,90795,-0.145,1.5,0.08,-0.37,'2','1',2,1,15,Country,Il 25 maggio 2009 la Corea del Nord ha effettuato un secondo test nucleare sotterraneo.
84,90160,-0.645,1.0,-0.92,-0.37,'1','1',1,1,15,Country,"I conflitti militari, noti come le guerre persiane, furono guidati principalmente da Atene e Sparta."
85,98109,0.855,2.5,2.08,-0.37,'4','1',4,1,16,CyclingCompetition,"Lo sprint è vinto da André Greipel, che sopravanza Julian Dean e Tiziano Dall'Antonia."
86,101751,0.855,2.5,0.08,1.63,'2','3',2,3,16,CyclingCompetition,"HC, si svolse il 4 aprile 2009 su un percorso totale di circa 191,4km."
87,99053,-0.145,1.5,0.08,-0.37,'2','1',2,1,16,CyclingCompetition,"Venne vinta dal kazako Aleksandr Vinokurov, al traguardo con il tempo di 6h37 48."
88,97949,-0.145,1.5,0.08,-0.37,'2','1',2,1,16,CyclingCompetition,Partenza a Plouay con 128 ciclisti di cui 88 portarono a termine il percorso.
89,101549,-0.145,1.5,0.08,-0.37,'2','1',2,1,16,CyclingCompetition,Partenza a Bruges con 245 corridori; 73 di essi portarono a termine il percorso.
90,98853,-0.145,1.5,0.08,-0.37,'2','1',2,1,16,CyclingCompetition,"Fu vinta dal britannico Peter Kennaugh, al traguardo con il tempo di 4h04 59."
91,100164,-0.645,1.0,-0.92,-0.37,'1','1',1,1,16,CyclingCompetition,"I maggiori favoriti della corsa, soprattutto velocisti puri, sono di fatto esclusi dalla vittoria finale."
92,101279,-0.645,1.0,-0.92,-0.37,'1','1',1,1,16,CyclingCompetition,"Partenza a Zagarolo con 104 ciclisti, dei quali 64 portarono a termine il percorso."
93,97233,-0.145,1.5,0.08,-0.37,'2','1',2,1,16,CyclingCompetition,"Sul traguardo di Münster 109 ciclisti, su 120 partenti, portarono a termine la competizione."
94,100177,-0.645,1.0,-0.92,-0.37,'1','1',1,1,16,CyclingCompetition,"Fu vinta dal britannico Adam Blythe, al traguardo con il tempo di 4h16 50."
95,96943,-0.145,1.5,0.08,-0.37,'2','1',2,1,16,CyclingCompetition,"Fu vinta dal tedesco Rüdiger Selig, al traguardo con il tempo di 4h21 35."
96,99703,-0.645,1.0,-0.92,-0.37,'1','1',1,1,16,CyclingCompetition,"Fu vinta dal tedesco Erik Zabel, che terminò con il tempo di 7h11 29."
97,97609,0.855,2.5,2.08,-0.37,'4','1',4,1,16,CyclingCompetition,Partenza a Varese con 177 corridori; 56 di essi portarono a termine il percorso.
98,101019,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,16,CyclingCompetition,"Partenza a Fiorano Modenese con 144 cicllisti, di cui 48 portarono a termine il percorso."
99,101856,-0.145,1.5,0.08,-0.37,'2','1',2,1,16,CyclingCompetition,"Partenza a Putte con 158 ciclisti, di cui 113 portarono a termine il percorso."
100,99235,-0.645,1.0,-0.92,-0.37,'1','1',1,1,16,CyclingCompetition,"Fu vinta dall'italiano Alessandro Petacchi, al traguardo con il tempo di 4h53 00."
101,105399,-0.145,1.5,0.08,-0.37,'2','1',2,1,17,Cyclist,"Nel 2005 corse la Classique des Alpes dove arrivò secondo, battuto solo da Alexandre Pliuschin."
102,102418,-0.145,1.5,0.08,-0.37,'2','1',2,1,17,Cyclist,"Professionista dal 1946 al 1953, è stato il fondatore dell'omonima impresa produttrice di biciclette."
103,107804,-0.145,1.5,0.08,-0.37,'2','1',2,1,17,Cyclist,"Professionista dal 1999 al 2007, conta la vittoria del Grand Prix de Ouest-France nel 2003."
104,104327,0.855,2.5,2.08,-0.37,'4','1',4,1,17,Cyclist,Corse per la Valante nel 1904 e come individuale tra il 1905 ed il 1913.
105,103890,-0.645,1.0,-0.92,-0.37,'1','1',1,1,17,Cyclist,"Nel 1968 partecipò alla sua prima Vuelta a España, piazzandosi secondo in due tappe."
106,111485,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,18,Decoration,"La medaglia della Corona del Re Zvonimiro aveva tre gradi argento, bronzo e ferro."
107,110903,-0.145,1.5,0.08,-0.37,'2','1',2,1,18,Decoration,Questa medaglia è stata conferita anche ad alcuni membri delle forze piemontesi e francesi alleate.
108,111075,-0.145,1.5,0.08,-0.37,'2','1',2,1,18,Decoration,L Ordine del re George Tupou I era un ordine cavalleresco del regno di Tonga.
109,111083,-0.645,1.0,-0.92,-0.37,'1','1',1,1,18,Decoration,L Ordine della Corona di Tonga è un ordine cavalleresco del regno di Tonga.
110,108948,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,18,Decoration,L'ordine disponeva di una serie di ben 18 classi di benemerenza così ripartite
111,111182,-0.145,1.5,0.08,-0.37,'2','1',2,1,18,Decoration,Da questa dipende il corpo militare ausiliario comandato da un generale dell'Esercito Italiano.
112,113281,-0.145,1.5,0.08,-0.37,'2','1',2,1,18,Decoration,La medaglia per il lavoro in agricoltura è un premio statale della Federazione Russa.
113,119815,-0.645,1.0,-0.92,-0.37,'1','1',1,1,19,Diocese,"Sede arcivescovile è la città di Besançon, dove si trova la cattedrale di San Giovanni."
114,114050,0.855,2.5,0.08,1.63,'2','3',2,3,19,Diocese,Poco dopo il 1188 la diocesi incorporò la maggior parte della soppressa diocesi di Inniscathy.
115,119568,-0.645,1.0,-0.92,-0.37,'1','1',1,1,19,Diocese,L 11 dicembre dello stesso anno ha assunto il nome attuale di diocesi di Ekiti.
116,116304,-0.145,1.5,0.08,-0.37,'2','1',2,1,19,Diocese,"Sede vescovile è la città di Palangkaraya, dove si trova la cattedrale di Santa Maria."
117,114580,-0.645,1.0,-0.92,-0.37,'1','1',1,1,19,Diocese,"Dopo l'ondata rivoluzionaria, principale compito dei vescovi nell'Ottocento fu la formazione dei preti."
118,119699,-0.145,1.5,0.08,-0.37,'2','1',2,1,19,Diocese,"Sede vescovile è la città di Goma, dove si trova la cattedrale di San Giuseppe."
119,114151,-0.145,1.5,0.08,-0.37,'2','1',2,1,19,Diocese,"Sede vescovile è la città di Latacunga, dove si trova la cattedrale di San Vincenzo."
120,118052,-0.645,1.0,-0.92,-0.37,'1','1',1,1,19,Diocese,Il 15 luglio 1950 entrò a far parte della provincia ecclesiastica dell'arcidiocesi di Karachi.
121,119898,-0.145,1.5,0.08,-0.37,'2','1',2,1,19,Diocese,"Sede vescovile è la città di Chikwawa, dove si trova la cattedrale di San Michele."
122,114877,-0.645,1.0,-0.92,-0.37,'1','1',1,1,19,Diocese,"Sede vescovile è la città di Rafaela, dove si trova la cattedrale di San Raffaele."
123,118360,-0.145,1.5,0.08,-0.37,'2','1',2,1,19,Diocese,Maiorca fu conquistata il 31 dicembre 1229 e subito incominciò la cristianizzazione dell'isola.
124,125938,1.355,3.0,3.08,-0.37,'5','1',5,1,20,Disease,La pitiriasi versicolor è una malattia cronica e persistente e di norma non guarisce spontaneamente.
125,122755,-0.145,1.5,0.08,-0.37,'2','1',2,1,20,Disease,A seguito alla diagnosi della sindrome non si rende necessario alcun tipo di follow up.
126,122415,-0.145,1.5,0.08,-0.37,'2','1',2,1,20,Disease,"In altri testi invece, soprattutto quelli più recenti, è sviluppato ampiamente come entità nosologica."
127,121066,-0.145,1.5,0.08,-0.37,'2','1',2,1,20,Disease,"Il virus parainfluenzale umano produce tipicamente un infiammazione del naso, della gola e dei bronchi."
128,121135,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,20,Disease,"La forma biliare è più frequente nelle donne, mentre la forma alcolica predomina negli uomini."
129,123793,-0.145,1.5,0.08,-0.37,'2','1',2,1,20,Disease,"Dato che il trattamento dei denti è piuttosto complesso, l'approccio migliore è quello multidisciplinare."
130,122677,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,20,Disease,Questo crea un microambiente tumorale scarsamente vascolarizzato e quindi con poca presenza di ossigeno.
131,124825,-0.645,1.0,-0.92,-0.37,'1','1',1,1,20,Disease,Si dispone di un certo numero di farmaci che risultano efficaci contro la scabbia.
132,121456,1.855,3.5,1.08,2.63,'3','4',3,4,20,Disease,La fibrosi cistica rappresenta la prima patologia genetica chiarita rigorosamente dal processo di genetica inversa.
133,127824,-0.645,1.0,-0.92,-0.37,'1','1',1,1,21,Dog,Il cane da pastore di Vallée è un cane del gruppo pastori e bovari.
134,131223,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,21,Dog,"Le Zampe devono essere rotonde e con dita corte, forti, ben arcuate e ben serrate."
135,127037,-0.645,1.0,-0.92,-0.37,'1','1',1,1,21,Dog,"In Gran Bretagna, per esempio, è consentito il possesso solo di esemplari registrati e castrati."
136,129237,-0.145,1.5,0.08,-0.37,'2','1',2,1,21,Dog,"L'unico colore ammesso è il bianco, mentre qualsiasi altra sfumatura viene rifiutata categoricamente."
137,130250,-0.645,1.0,-0.92,-0.37,'1','1',1,1,21,Dog,"La coda è moderatamente lunga e attaccata sulla linea del corpo, mai ricurva sul dorso."
138,130845,0.3549999999999999,2.0,-0.92,1.63,'1','3',1,3,21,Dog,"Di conseguenza l'Utonagan, con l'avanzare dell'età, potrebbe avere problemi di salute."
139,129448,-0.14500000000000002,1.5,-0.92,0.63,'1','2',1,2,21,Dog,Alcuni sostengono che i primi esemplari arrivarono in Inghilterra a seguito di tessitori fiamminghi.
140,126660,0.855,2.5,2.08,-0.37,'4','1',4,1,21,Dog,Il dogo canario è una razza di cane di tipo molossoide proveniente dalla Spagna.
141,131828,0.3549999999999999,2.0,-0.92,1.63,'1','3',1,3,21,Dog,"Con pelo raso intorno, sono preferibilmente scuri, tondeggianti, di media grandezza, con taglio orizzontale."
142,129915,-0.14500000000000002,1.5,-0.92,0.63,'1','2',1,2,21,Dog,Lo standard del Clube Português de Canicultura approvato dalla FCI è stato pubblicato il 04.11.2008.
143,130292,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,21,Dog,"Gli occhi ben distanziati, molto espressivi, non sporgenti, perfettamente scuri sono caratteristiche molto apprezzate."
144,134906,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,22,EthnicGroup,"La lingua bru orientale nel paese si suddivide nei dialetti Leun, Tri e Mangkong."
145,136987,-0.145,1.5,0.08,-0.37,'2','1',2,1,22,EthnicGroup,"Gli usbechi, inoltre, fanno parte dei 56 gruppi etnici riconosciuti ufficialmente dalla Repubblica popolare cinese."
146,133069,-0.645,1.0,-0.92,-0.37,'1','1',1,1,22,EthnicGroup,"Nel 2002 si tenta di approvare la legge della Regione, che però fu respinta."
147,132206,-0.145,1.5,0.08,-0.37,'2','1',2,1,22,EthnicGroup,In Nuova Zelanda e in Finlandia esiste un programma scolastico ed universitario per sordi.
148,140217,1.855,3.5,1.08,2.63,'3','4',3,4,23,FictionalCharacter,"Dopo l'incursione finale tra Terra-616 e Terra-1610, l'universo viene ripristinato da Mr."
149,138833,-0.645,1.0,-0.92,-0.37,'1','1',1,1,23,FictionalCharacter,Altro cambiamento dopo la terza stagione è la vistosa cicatrice sulla parte sinistra della gola.
150,143821,-0.645,1.0,-0.92,-0.37,'1','1',1,1,23,FictionalCharacter,"Non avendo trovato nulla nella fattoria di Garrow, gli stranieri la distruggono e uccidono Garrow."
151,141163,1.355,3.0,0.08,2.63,'2','4',2,4,23,FictionalCharacter,La crudeltà di Devil Jin è testimoniata pure da un episodio riguardante Tekken 5.
152,140045,0.855,2.5,-0.92,2.63,'1','4',1,4,23,FictionalCharacter,"Ner zhul, però, decise di aprire diversi portali verso altri mondi da poter conquistare."
153,138068,-0.645,1.0,-0.92,-0.37,'1','1',1,1,23,FictionalCharacter,Dopo una tempesta in aereo dove Meredith e Nathan stavano andando a un congresso.
154,142218,-0.645,1.0,-0.92,-0.37,'1','1',1,1,23,FictionalCharacter,"Per provargli la sua lealtà, si strappò un occhio per somigliare a suo padre."
155,139072,-0.645,1.0,-0.92,-0.37,'1','1',1,1,23,FictionalCharacter,Alla fine riesce a sconfiggere gli avversari con facilità senza nemmeno muoversi dalla sua posizione.
156,141276,0.855,2.5,1.08,0.63,'3','2',3,2,23,FictionalCharacter,"Nonostante fosse grandemente depotenziato, Conner combatté coraggiosamente e riuscì a difendersi per qualche tempo."
157,146808,1.355,3.0,-0.92,3.63,'1','5',1,5,24,Film,"Flora avvolge il pallone di energia rosso-nera, creando un grande sfera e tirandola in porta."
158,149666,-0.645,1.0,-0.92,-0.37,'1','1',1,1,24,Film,Il giglio della palude è un film muto italiano del 1912 diretto da Roberto Danesi.
159,146427,-0.145,1.5,0.08,-0.37,'2','1',2,1,24,Film,The Brave Deserve the Fair è un cortometraggio muto del 1915 diretto da Tom Mix.
160,149728,-0.645,1.0,-0.92,-0.37,'1','1',1,1,24,Film,La vergine dell harem è un film muto del 1926 diretto da Raoul Walsh.
161,148091,-0.645,1.0,-0.92,-0.37,'1','1',1,1,24,Film,Polly of the Follies è un film muto del 1922 diretto da John Emerson.
162,145920,-0.645,1.0,-0.92,-0.37,'1','1',1,1,24,Film,Where the Road Forks è un cortometraggio muto del 1913 diretto da Thomas Ricketts
163,147945,-0.145,1.5,0.08,-0.37,'2','1',2,1,24,Film,The Three Shell Game è un cortometraggio muto del 1911 diretto da Allan Dwan
164,152501,-0.645,1.0,-0.92,-0.37,'1','1',1,1,25,Game,"Rappresentate da carte di forma quadrata, si distinguono in Fanteria, Artiglieria, Cavalleria e Aerei."
165,153879,-0.145,1.5,0.08,-0.37,'2','1',2,1,25,Game,Il gioco venne commercializzato a partire dal 1935 da una nuova casa editrice Editrice Giochi.
166,155746,2.355,4.0,1.08,3.63,'3','5',3,5,25,Game,La stirpe di un lupo mannaro determina in parte la sua gnosis o consapevolezza spirituale.
167,150422,-0.645,1.0,-0.92,-0.37,'1','1',1,1,25,Game,"Questo mondo, detto Chancel, ospita sia i loro corpi fisici che il loro riflesso spirituale."
168,158742,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,26,IceHockeyPlayer,"Vi restò per quattro stagioni fino al 2011, totalizzando 105 punti in 128 gare disputate."
