cluster_ids,ids,response
170,172388,'1'
42,44075,'4'
232,228368,'4'
150,151275,'4'
41,43599,'5'
374,376031,'3'
278,280438,'4'
18,23770,'4'
302,305457,'5'
259,254598,'3'
165,166959,'5'
51,49018,'4'
1,379,'4'
38,38297,'4'
98,98529,'2'
131,134281,'3'
188,186062,'3'
280,280187,'3'
339,339192,'5'
162,164873,'3'
5,3864,'3'
380,380693,'5'
221,218773,'4'
282,279836,'4'
253,251488,'5'
77,80688,'4'
135,141928,[]
344,342832,[]
277,272400,[]
240,239655,[]
