sentences,cluster_ids,ids,wait_start,trial_sent_start,response,response_time
'Il margine prossimale deve essere una zona del colon flessibile e senza ipertrofia o infiammazione.',122,122152,335.399606,336.0000063,'4',1.494072269
"'Non necessita di particolari cure, una spazzolata periodica contribuisce ad eliminare il pelo morto.'",128,128022,341.648127,342.0000053,'5',0.774475533
'Questi è oggi stato canonizzato dalla chiesa ortodossa ed è lodato come eroe nazionale.',111,113701,346.7640402,348.0000044,'1',1.302572468
"'Viardot assegnò per primo l''opera a Raffaello, seguito da Passavant, Morelli e Pulzky.'",23,25579,353.347874,354.0000065,'4',1.02508736
"'Inoltre la calcopirite è rinvenuta in gran quantità, raramente in forma cristallina, e meno fragile.'",199,200003,358.826229,360.0000043,'3',1.79778128
'La principale vittoria da professionista fu un tappa al Giro d Italia nel 1951.',101,106656,365.9963487,366.0000249,'5',1.228106929
'Il primo touchdown stagionale lo segnò nella vittoria della settimana 2 in casa dei Vikings.',16,18780,371.2332378,372.0000064,'5',0.791280219
'I successivi miracoli sono indicati nella lista dei capitoli all Historia Miraculorum della Vita II.',291,290022,376.9953082,378.0000049,'1',1.286250305
"'Dopo 104km di corso il fiume sfocia nel Jijia, vicino alla città di Chipere_ti.'",281,277219,383.4768154,384.0000062,'3',2.924723891
'Nella stagione successiva Hay e i Black Hawks raggiunsero la finale della Stanley Cup.',160,158314,390.8824236,390.8824626,'5',0.68892159
"'Il gioco contiene una versione elettronica de Il volo del calabrone, di Nikolai Rimsky-Korsakov.'",376,374245,395.6286577,396.0000041,'5',1.737515967
'La guerra contro le tribù germaniche degli anni precedenti ne aveva solo ritardato i piani.',178,181388,401.7123643,402.0000055,'5',1.051212103
"'Mentre transitava nel canale Kaiser Wilhelm il 14 marzo 1917, la Kaiserin si arenò.'",296,297610,407.2462025,408.0000045,'2',2.701275212
"'Negli anni 1983-1984 l''esposizione venne riallestita, mutando e migliorando il percorso logico espositivo.'",228,225351,414.728824,414.7288623,'2',1.877738881
'Carollia castanea è un Pipistrello della famiglia dei Fillostomidi diffuso nell''America centrale e meridionale.',320,321421,420.4279832,420.4280209,'5',0.912480498
"'Nei pressi del Mönchjoch, valico che lo separa dal Mönch si trova la Mönchsjochhütte.'",222,220533,425.3448644,426.0000042,'3',1.733245661
'Il nome è in riferimento alla composizione chimica è un minerale con prevalenza di cerio.',198,202426,431.7319252,432.0000045,'4',2.095041725
"'Il corno viene recuperato dai soldati di Gondor, spezzato in due, e portato dal Sovrintendente.'",140,143723,438.2617211,438.2617708,'5',1.606876148
'Questo format era già stato sperimentato nel novembre 2007 ma abbandonato dopo poco tempo.',356,356124,444.0923716,444.0924096,'5',0.547568069
'Il progetto museografico è elaborato personalmente da Depero tra il 1957 e il 1959.',226,225952,448.6124664,450.0000067,'2',2.798248967
"'Con la totale indipendenza norvegese,venne approvata una legislazione rafforzante del sistema introdotto nel 1885.'",190,197358,456.8128643,456.8129025,'3',1.34974229
"'Anche se era ovviamente per attaccare la Kru, Konnan ha rifiutato la fiducia di Kip.'",340,337801,462.1458235,462.1458834,'1',1.07930011
"'Il Paraguay è uno degli stati aderenti alla Banca del Sud, partecipando al suo capitale.'",89,94658,467.4248141,468.0000071,'2',1.397380029
"'La serie è ambientata in Sicilia, ma è stata quasi interamente girata in Puglia.'",353,348235,473.5939301,474.0000067,'5',0.902759341
"'Per l''occasione Fukuyama forma un duo musicale con il coprotagonista di Galileo, Kou Shibasaki.'",233,230429,478.9252863,480.0000046,'5',0.919599853
'Il 20 luglio 2012 Fayne prolungò per altre due stagioni con i New Jersey Devils.',157,160773,485.1113045,486.0000055,'4',1.875946769
"'Sede vescovile è la città di Nyahururu, dove si trova la cattedrale di Maria Immacolata.'",112,118531,492.0609616,492.0610022,'4',1.835601767
'Segue l''elenco degli insigniti dell''ordine di Massimiliano per le scienze e le arti.',108,108700,498.0793214,498.0793677,'3',1.803833102
"'Storicamente, la RDC è stata dominata dalla politica del partito unico dell''uomo forte.'",92,93254,503.6953569,504.0000061,'4',1.373074237
'Nel corso degli anni altre opere sono state accolte e esposte all''interno del museo.',225,225850,509.1294841,510.0000044,'5',0.595665335
'Questo sistema di plug-in è alla base di tutti i moderni software del genere.',309,310422,514.5947203,516.0000059,'3',1.569222619
'Le dimensioni della carreggiata sono poco più ampie di quelle di una normale strada statale.',284,282905,521.5767279,522.0000053,'5',0.919161817
'Questa voce raccoglie le informazioni riguardanti il FC Tokyo nelle competizioni ufficiali della stagione 2008.',334,331027,527.161913,528.000004,'4',2.154649502
"'I traguardi volanti hanno continuato ad assegnare abbuoni di 6, 4 e 2 secondi.'",93,98506,534.3444202,534.3444669,'3',1.351358073
'Nel maggio 1970 Colonna di Paliano divenne presidente della catena di grandi magazzini La Rinascente.',247,249372,539.6426311,540.0000064,'3',2.346309799
"'Il dipinto ha subito una pulitura leggera, in occasione della mostra a Firenze nel 1922.'",24,25757,546.4974162,546.4974638,'4',1.588150302
"'Durante la manifestazione prese parte anche alle finali dei 200,400 e 800m sl.'",345,347017,552.2281369,552.2281763,'5',0.650469452
'Varie librerie sono state costruite sopra OpenGL per fornire funzionalità non disponibili in OpenGL stesso',311,309124,556.676911,558.0000047,'5',1.654450183
"'Le pareti eran ricoperte da immagine votive, tranne il presbiterio che fu affrescato nel 1700.'",273,273085,563.8268507,564.0000052,'4',2.103363122
"'La canzone è stata bandita in molte stazioni radio, tranne in quella del Dr. Demento.'",13,17025,570.2447884,570.244828,'3',2.122826812
'Nel luglio del 2006 l''intera azienda fu acquistata dal gruppo Perfetti Van Melle.',82,89591,576.5939961,576.5940345,'1',1.794262062
'L Ostniederdeutsch è un gruppo di dialetti parlati prevalentemente in Germania orientale e Polonia settentrionale.',168,168701,582.2259186,582.2259665,'3',1.512583714
'Fu la prima volta che l''istituto del Palazzo Davanti arrivò a tanto potere.',208,205145,588.0107132,588.010797,'5',1.275253772
"'Terminò la carriera universitaria con 1.344 punti, 804 rimbalzi e con il 51,5% al tiro.'",44,42957,593.0418504,594.0000052,'3',2.916585398
'In questo programma la conduttrice per lanciare il riepilogo dei progetti usa dire Ricap!.',360,358910,601.106187,601.1062253,'5',1.247314226
"'La prima regolamentazione organica dell''onorificenza è stata approvata col Decret 22 giugno 2004, n.'",107,112884,606.3120904,606.3121291,'3',3.222151815
'La vetta del Nelion fu scalata la prima volta da Eric Shipton nel 1929.',220,216714,613.5434533,613.5435112,'5',0.540536624
"'In carriera ha vinto un titolo nel singolare, il WTA Swiss Open nel 1976.'",365,363383,618.0602159,618.060254,'2',1.330502605
"'Elton si cimenta a raggiungere note abbastanza alte, in special modo durante il ritornello.'",316,312983,623.3757238,624.0000039,'5',0.948464183
"'HD 30197 è una stella gigante arancione di magnitudine +5,99 situata nella costellazione del Toro.'",68,66347,628.92341,630.0000039,'4',2.366044911
'Fu ordinato vescovo a Roma l''8 giugno 1549 dal cardinale Juan Álvarez de Toledo.',63,60637,636.5416336,636.5416722,'5',0.645269325
'Per quanto riguarda l''origine della viremia esiste la suddivisione fra forma attiva e passiva',118,121123,641.1482305,642.0000053,'3',2.833533287
'Questo è tuttavia l''unico capitolo in cui Lara non guida veicoli di alcun tipo.',375,374926,648.8758354,648.8758778,'5',1.277334799
'La nave fu infine smantellata nei cantieri Breda di Venezia nel 1923 o 1924.',299,297409,654.144299,654.1443381,'5',1.235359814
'Il cão de água português è una razza di cane d acqua di origine portoghese.',124,130126,659.4264833,660.0000063,'5',1.585208779
'Queste caratteristiche lo qualificarono più come un cacciabombardiere che non come un bombardiere medio.',2,4317,665.7298789,666.0000067,'5',0.860159052
"'Sede vescovile è la città di Oslo, dove si trova la cattedrale di Sant Olav.'",115,114247,670.8478389,672.0000038,'5',0.777284296
"'Nel 1934, prese parte alla notte dei lunghi coltelli contro le Sturmabteilung di Ernst Röhm.'",187,186697,676.9628347,678.000006,'4',1.072701999
"'Peraza si esibì in tutti i locali delle zone circostanti, tra cui nel Manhole Shelley.'",230,231994,683.2280961,684.0000065,'5',1.517542654
'I Big Daddy sono i grossi protettori rinchiusi in scafandri corazzati che vigilano sulle Sorelline.',373,373915,689.6802773,690.0000043,'5',1.713430131
'Nonostante la sconfitta toccò il suo best ranking della carriera salendo fino alla seconda posizione.',362,365950,695.907914,696.0000051,'4',1.879183523
"'In realtà la vetta più alta è il monte Popomanaseu, che tocca quota 2335 metri.'",223,218296,702.0582395,702.0582868,'5',0.91895192
"'Il rimanente tratto, da Rezzato a Limone sul Garda, è invece rimasto all''ANAS.'",286,283488,707.3077022,708.000004,'4',1.946397674
"'Discussione di alcuni principali processi fonologici, come di importanti allofoni o di regole di assimilazione.'",171,170821,713.7279054,714.0000051,'2',1.903916719
'Aldobrandino d Este dopo la morte del padre ereditò il titolo di signore di Ferrara.',206,208696,720.1379169,720.1379566,'2',1.634422723
"'Fu vinta dall''italiano Daniele Contrini, al traguardo con il tempo di 4h19m41s.'",95,100002,725.9468926,726.0000052,'3',1.18788089
'Il motore era di cilindrata piuttosto bassa per essere un 8 cilindri solo 1719cm3.',36,39716,730.74042,732.0000065,'3',2.319011369
"'Nel gennaio 2013 passa alla Pallavolo Motta di Motta di Livenza, sempre in Serie B1.'",381,382181,738.2942844,738.2943565,'2',1.091135947
"'Era il figlio di Henry Brand, I visconte Hampden, e di sua moglie, Eliza Ellice.'",251,250187,743.6112611,744.0000066,'4',1.103264128
'L''università è governata da un consiglio di facoltà e da un consiglio d amministrazione.',371,370838,749.292643,750.0000065,'5',1.690134782
'La serpe di Zanzibar è un film muto del 1928 diretto da Tod Browning.',143,146607,755.6590394,756.0000053,'5',0.536167523
"'Nel 1945 l''aeroporto fu preso dagli Americani, che lo restituirono alla città nel 1949.'",10,6748,760.5120188,762.0000065,'5',1.370674292
'Fu scelto nell''Amateur Draft del 1963 dai Toronto Maple Leafs in ventunesima posizione.',156,159039,767.3585033,768.000006,'4',1.087834978
'Nel 2016 è nello stesso team con un nuovo compagno di squadra Franco Morbidelli.',214,215833,772.8472256,774.0000052,'3',1.085159268
'MTRG fa uso del protocollo SNMP per inviare due identificatori di oggetto a un dispositivo.',310,307370,779.0574034,780.0000056,'2',1.902854463
'Con Viacheslav Fetisov abbatté la barriera che bloccava i giocatori sovietici dal giocare nella NHL.',159,157738,786.0940644,786.0941344,'3',4.159413086
'La strada ha origine dallo svincolo di Castellammare del Golfo sull''A29 Palermo-Mazara del Vallo.',289,287529,794.4441972,794.4442354,'3',2.167299527
'Nel giugno del 2015 arriva secondo nell''Europeo per nazioni svoltosi a _eboksary in Russia.',27,35224,800.5386534,800.5387001,'5',0.849861212
'L''8 aprile 2009 DeRozan annuncia che entrerà a far parte del Draft NBA.',43,45817,805.4229161,805.4229543,'5',1.454431697
"'Pohl scrisse egli stesso molte storie, per riempire la rivista e aumentare il suo stipendio.'",241,245685,810.6890798,810.6891193,'4',1.644762234
'La malattia di Crohn aumenta anche il rischio di cancro nella zona di infiammazione.',120,125570,816.4916947,816.4917331,'5',0.911936805
'La carriera di _pek Soro_lu inizia nel 2002 tra le file del Galatasaray Spor Kulübü.',384,379910,821.4067427,822.0000046,'5',0.854180747
'MariaDB si compila sia su processori a 32 bit sia su processori a 64.',308,309335,827.0243898,828.0000064,'4',1.060080364
'Posteriormente terminava in una coda dall''impennaggio tradizionale monoderiva dagli ampi piani di coda.',3,975,833.0549365,834.0000041,'1',1.303672911
'Nel 1693 ricevette il suddiaconato e solo il 5 giugno 1700 prese gli ordini sacri.',80,80876,839.137336,840.0000058,'3',1.193183431
"'Il giardino, oggi ridotto e molto modificato rispetto al passato, fu progettato da Enrico Combi.'",58,54949,845.3437121,846.0000049,'5',0.771675632
"'Se dovessero sorgere problemi, VirtualBox ha un ricompilatore dinamico, come gli altri software di virtualizzazione.'",312,308313,850.9239904,852.0000068,'3',3.084057232
"'Nel 2012 ritorna in Spagna alla Movistar, che aveva lasciato al termine del 2008.'",99,107981,859.2562378,859.2562772,'5',0.774232502
"'Alla fine dell''anno avviene la defezione di Prezzolini, che si trasferisce a Roma.'",243,240966,864.0405025,864.0405407,'4',1.076119946
"'La stazione risulta essere molto trafficata, vista la sua popolarità tra i pendolari della zona.'",267,264335,868.8927525,870.0000051,'5',0.707153314
'Dal 15 dicembre 2013 la stazione è fornita da un sottopassaggio munito di ascensori.',268,267289,874.8419145,876.0000055,'5',1.455386258
"'Anche nell''inverno 2008-2009 partecipa alla GP2 Asia, vincendola, e nel 2009 al campionato GP2.'",261,259774,881.4389887,882.0000068,'4',1.013104811
'La società viene fondata nel 1967 da Reinhold e Robert Spieldiener e da Ali Saiko.',85,87586,887.0068215,888.0000054,'4',3.65086344
"'Phi1 Orionis è una stella gigante azzurra di magnitudine 4,4 situata nella costellazione di Orione.'",69,70680,895.8378034,895.8378425,'4',1.62763311
"'Figlia unica, ha cominciato a praticare atletica leggera all''età di 12 anni nel 2003.'",31,31262,901.6112422,901.6112802,'4',1.252740663
'Il museo si trova in quella che un tempo era la centrale termoelettrica di Bankside.',224,223085,906.810021,906.8100599,'3',1.648433536
'In Danimarca l''incidenza è più elevata e raggiunge i 41 casi per 100.000 persone.',119,123522,912.6541564,912.654195,'5',0.713244556
'Il film - un cortometraggio a una bobina - fu prodotto dalla Société des Etablissements L.',148,148253,917.3037518,918.0000044,'2',1.167915479
'Il motore di Nessus 2 e una piccola quantità di plugin sono ancora GPL.',313,311874,923.5422942,924.0000066,'2',2.248792448
"'Lo Shield ha quindi cominciato ad attaccare Kane, salvo ritirarsi quando gli Usos sono intervenuti.'",337,339288,930.2043987,930.2044372,'3',2.737610022
"'Con una magnitudine apparente di +3,84 è la dodicesima stella più brillante della costellazione.'",65,68783,937.1783918,937.1784305,'4',0.989786159
'Appena scelto fu scambiato dai Nuggets insieme a Rodney Rogers per arrivare a Antonio McDyess.',39,43065,942.1037611,942.1037998,'4',1.954044798
"'Lo stesso Doni aveva commissionato a Michelangelo il famoso Tondo Doni, oggi agli Uffizi.'",22,29269,948.2230404,948.2230788,'3',1.784992881
'Costruisce poi una nuova spada laser blu come simbolo della sua promozione al Consiglio Jedi.',141,143955,953.989987,954.00001,'5',1.038692352
'La concentrazione plasmatica massima viene raggiunta in genere entro 2-4 ore dall''assunzione della molecola.',75,74697,959.2185385,960.0000052,'4',1.437827942
'Lo scopo dell XB-19 era quello di testare le caratteristiche di volo di bombardieri giganti.',6,4945,965.3716137,966.0000055,'5',1.953418786
"'La sua prima stagione nel Maryland si chiuse con 31 tackle e 9,5 sack.'",15,22930,972.108228,972.1082913,'4',1.346329626
"'Il 1968 fu, invece, un anno tormentato sia per il pilota, che per la scuderia.'",265,259710,977.4379688,978.0000046,'5',0.953831934
'Suo figlio Tim è stato anche un pilota di Formula 1 con scarsa fortuna.',263,258469,983.0723068,984.0000064,'5',1.22816468
'Si arruolò come soldato nel 44° Reggimento di linea allo scoppio della guerra franco-prussiana.',185,188343,989.2080677,990.0000045,'5',0.545145908
'Il confronto con l''urea ricavata dall''urina lo convinse di aver sintetizzato quel composto.',71,73125,994.5279432,996.0000047,'3',1.342171257
"'Il bacio è un dipinto a olio su tela, alto 99 e largo 81 centimetri.'",25,25965,1001.123515,1002.000006,'5',0.382489184
'Nel 1985 la sinagoga fu chiusa e cominciarono lunghi anni di abbandono e furti.',274,272889,1006.588238,1008.000006,'4',0.963438815
"'Da allora la stazione è il capolinea dell''attuale Linea Kachovskaya, staccatasi dalla Zamoskvoreckaja.'",176,178047,1012.854207,1014.000004,'3',1.214691078
'By the Sad Sea Waves è un cortometraggio muto del 1917 diretto da Alfred J.',145,146536,1018.937361,1020.000004,'4',1.486367717
'Questa voce raccoglie le informazioni riguardanti la Pallavolo Chieri nelle competizioni ufficiali della stagione 2003-2004.',332,332398,1025.670466,1026.000004,'5',0.735772171
'Questo procurò alla band un tour in Europa insieme ai Gothminister come band di supporto.',231,231272,1030.955702,1032.000006,'3',1.999439147
"'Il 1969 vede il centauro ternano Campione Italiano Juniores della 250, sempre con una MotoBi.'",216,215464,1038.168351,1038.168408,'3',2.140604327
"'I tedeschi, riconoscendo l''indifendibilità della propria posizione, si ritirarono dalla Marna verso nord.'",182,181908,1044.521604,1044.521642,'4',0.679445538
'Anche a Los Angeles raggiunge la semifinale in cui viene sconfitto da Stefan Edberg.',364,360192,1048.971258,1050.000006,'5',1.753913465
'L''elenco che segue concerne invece le puntate realizzate durante la gestione di Giovanni Minoli.',358,354206,1055.723988,1056.000006,'4',0.788528711
"'Realizzato nel 2002, Crusader riscosse subito un grande plauso fra i fan del precedente capitolo.'",378,373856,1060.753549,1062.000004,'5',1.38162344
'In Italia è stata trasmessa dal 1981 su reti locali con il titolo Koseidon.',349,349483,1067.570047,1068.000005,'5',0.946551986
'Sopra l''altare è posta una copia della Vergine nera di Cz_stochowa risalente al 1720.',271,273798,1072.907489,1074.000007,'5',0.588665764
'Sul retro la medaglia presenta un gladio romano attorniato da una corona d alloro.',110,112553,1078.617382,1080.000007,'4',2.473671764
'È per questo motivo che questo clan ancora oggi in Burundi ha una pessima considerazione.',207,209239,1086.467909,1086.467954,'4',2.019622448
'Nel 1934 il telaio venne modificato per avere una carreggiata e un avantreno più larghi.',35,41627,1092.686672,1092.686716,'5',1.834641329
'A partire dal 1944 la nave fu utilizzata nel Pacifico per scortare le portaerei.',298,296963,1098.702459,1098.702512,'5',3.483154954
'Il cane da orso della Carelia è un cane da caccia della famiglia degli spitz.',125,130678,1106.153198,1106.153236,'3',1.50673261
'L''aeroporto è stato inaugurato nel 1940 con un volo con destinazione la capitale.',9,9857,1111.837712,1111.83776,'1',2.109737251
"'Con questa squadra, trasformò le pagine di Vogue in un grande spettacolo artistico e sofisticato.'",246,243446,1117.72211,1117.722173,'3',1.918967242
'Joey è un ragazzo comune che frequenta le scuole superiori nella cittadina di Greenville.',46,51680,1123.819185,1123.81923,'5',1.239233117
'La Frenchcore è un sottogenere musicale molto veloce e ritmato proposto soprattutto in Francia.',237,238794,1129.049708,1129.049746,'4',1.418337177
"'Era comune praticare la poligamia e durante i primi anni di matrimonio, la residenza uxorilocale.'",133,134137,1134.483919,1134.483977,'2',2.535516494
'Originatori di questa tendenza sono stati probabilmente gli statunitensi Impetigo insieme ai conterranei Meat Shits.',238,237999,1141.203452,1141.203491,'2',1.472737914
'Con My Chico al Festivalbar 1988 venne premiata come Migliore Cantante Europea dell''anno.',229,228218,1146.870603,1146.870652,'4',0.773376708
'Il 6 dicembre 2017 ha preso possesso del titolo cardinalizio di Santa Maria degli Angeli.',78,82891,1151.408638,1152.000004,'4',0.847504203
'Globalmente la stazione possiede due ingressi a cui si aggiungono tre accessi diretti ai binari.',270,264270,1157.017093,1158.000005,'4',2.077470154
'Oggi la villa ospita il Comando Militare Esercito Friuli Venezia Giulia con adiacente Circolo Ufficiali.',56,55580,1164.220791,1164.220839,'2',2.2422114
'L''ordine dispone dell''unica classe di membro che dà diritto al post nominale DUK.',105,108115,1170.619658,1170.619695,'3',0.952858479
'Il 23 agosto 1179 Saladino giunse al Guado di Giacobbe e diede inizio all''assedio.',179,184453,1175.371171,1176.000004,'4',1.577119347
'Infatti l''edizione originale di D&D raccomandava al lettore il possesso di una copia Chainmail.',149,151201,1181.553383,1182.000004,'3',1.438374561
"'Gesti e sguardi si intrecciano tra i protagonisti, con un notevole senso di familiare naturalezza.'",26,26185,1187.41998,1188.000006,'4',1.763212226
'Originariamente la canzone è stata scritta per l''album d esordio The Scream del 1978.',14,15071,1193.937061,1194.000007,'5',0.61349852
'Appartiene al circondario di Bad Kreuznach ed è parte della comunità amministrativa di Kirn-Land.',260,256087,1198.581971,1200.000006,'4',1.265943957
'Il Comitato Olimpico Capoverdiano venne creato nel 1989 e riconosciuto dal CIO nel 1993.',338,338008,1205.219749,1206.000006,'4',2.417079907
'Nel 1998 Delta Green vinse l''Origins Award per il Best Roleplaying Supplement of 1997.',152,151360,1212.336248,1212.336287,'4',1.874602853
'Negli anni novanta la rivista continuò ad essere un punto di riferimento del settore.',245,241225,1218.167741,1218.167784,'5',0.432650933
