original_order,ids,cluster_type,sentences
312,311874,d2c,Il motore di Nessus 2 e una piccola quantità di plugin sono ancora GPL.
209,208695,d2c,"Il coimperatore, infatti, non volle mai consumare il matrimonio perché riteneva Sofia troppo brutta."
361,365950,d2c,Nonostante la sconfitta toccò il suo best ranking della carriera salendo fino alla seconda posizione.
70,73125,d2c,Il confronto con l'urea ricavata dall'urina lo convinse di aver sintetizzato quel composto.
321,322798,d2c,"È possibile che condividesse l habitat con altri grossi artropodi nuotatori, come Isoxys e Zhenghecaris."
307,309335,d2c,MariaDB si compila sia su processori a 32 bit sia su processori a 64.
140,143955,d2c,Costruisce poi una nuova spada laser blu come simbolo della sua promozione al Consiglio Jedi.
79,80876,d2c,Nel 1693 ricevette il suddiaconato e solo il 5 giugno 1700 prese gli ordini sacri.
279,280187,d2c,"Più a valle sbocca nel Cigüela, da sinistra, molto vicino agli Ojos del Guadiana."
357,354206,d2c,L'elenco che segue concerne invece le puntate realizzate durante la gestione di Giovanni Minoli.
10,6195,d2c,Il 10 settembre 2016 a Boscomantico si sono festeggiati i 100 anni dell'aeroporto.
158,157738,d2c,Con Viacheslav Fetisov abbatté la barriera che bloccava i giocatori sovietici dal giocare nella NHL.
114,114247,d2c,"Sede vescovile è la città di Oslo, dove si trova la cattedrale di Sant Olav."
15,18780,d2c,Il primo touchdown stagionale lo segnò nella vittoria della settimana 2 in casa dei Vikings.
217,218537,d2c,Nel seguente elenco sono riportati gli altri eventi più significativi riguardanti il Cho Oyu.
231,228368,d2c,"Con l'aiuto del padre ha aperto un ristorante in Odaiba, Tokyo chiamato Kamei-do."
281,279836,d2c,"La Bol šaja è un fiume della Russia europea meridionale, affluente di sinistra della Kalitva."
196,201755,d2c,La bukovskýite è un minerale che prende il nome dal chimico ceco Antonin Bukovsky.
371,366937,d2c,Nel periodo 1874-1961 è stata l'unica università del paese ad attribuire titoli accademici.
37,38297,d2c,"La più importante nel 1980 quando cambiarono i paraurti, i comandi e le finiture."
110,113701,d2c,Questi è oggi stato canonizzato dalla chiesa ortodossa ed è lodato come eroe nazionale.
154,156613,d2c,Bathgate ritornò in NHL per un ultima stagione ancora con i Penguins nel 1971.
285,283488,d2c,"Il rimanente tratto, da Rezzato a Limone sul Garda, è invece rimasto all'ANAS."
177,181388,d2c,La guerra contro le tribù germaniche degli anni precedenti ne aveva solo ritardato i piani.
248,248405,d2c,"L'anno dopo fu al servizio della Spagna, per cui combatté in diverse battaglie."
9,6748,d2c,"Nel 1945 l'aeroporto fu preso dagli Americani, che lo restituirono alla città nel 1949."
223,223085,d2c,Il museo si trova in quella che un tempo era la centrale termoelettrica di Bankside.
366,370083,d2c,Dal 1998 la Libera università di lingue e comunicazione IULM porta il nome attuale.
54,54167,d2c,"Quindi, passando attraverso diversi proprietari, giunse ad essere la sede odierna della Guardia di Finanza."
7,6518,d2c,Nel periodo estivo l'aeroporto gestisce più di 60 voli di linea al giorno.
370,370838,d2c,L'università è governata da un consiglio di facoltà e da un consiglio d amministrazione.
340,337903,d2c,Segue la rosa delle giocatrici convocate per i XVII Giochi i piccoli stati d Europa.
197,202426,d2c,Il nome è in riferimento alla composizione chimica è un minerale con prevalenza di cerio.
213,215833,d2c,Nel 2016 è nello stesso team con un nuovo compagno di squadra Franco Morbidelli.
168,170486,d2c,Alcuni linguisti includono l'alveniate in un gruppo dialettale alverno-limosino in comune con il limosino.
133,136760,d2c,L'espandersi del fenomeno costrinse alla mobilitazione sia le autorità francesi che quelle siamesi.
187,186062,d2c,"Novák, tuttavia, respinse l'offerta e insieme a molti altri aviatori cecoslovacchi fuggì all'estero."
276,272400,d2c,"Nel 1927 venne ripristinata la facciata, che riflette le linee del sezionamento delle navate."
128,131874,d2c,È un cane di piccola taglia caratterizzato da un lungo pelo liscio e pesante.
127,128022,d2c,"Non necessita di particolari cure, una spazzolata periodica contribuisce ad eliminare il pelo morto."
313,313573,d2c,"In virtù di questo fatto, la canzone viene chiamata abitualmente Sappy per evitare confusione."
218,217896,d2c,Sotto la vetta sono evidenti i resti del presidio austriaco della prima guerra mondiale.
120,120550,d2c,La prima descrizione nota di ipopituitarismo è stata fatta dal medico patologo tedesco Morris Simmonds.
264,259710,d2c,"Il 1968 fu, invece, un anno tormentato sia per il pilota, che per la scuderia."
77,82891,d2c,Il 6 dicembre 2017 ha preso possesso del titolo cardinalizio di Santa Maria degli Angeli.
266,264335,d2c,"La stazione risulta essere molto trafficata, vista la sua popolarità tra i pendolari della zona."
161,164873,d2c,"Contrariamente alla vasta area coperta dall'arcipelago, copre una superficie terrestre di soli 885 km2."
23,25757,d2c,"Il dipinto ha subito una pulitura leggera, in occasione della mostra a Firenze nel 1922."
376,375245,d2c,Bomberman è l'unico che può fronteggiare Wario e riportare l'equilibrio nel suo mondo.
228,228218,d2c,Con My Chico al Festivalbar 1988 venne premiata come Migliore Cantante Europea dell'anno.
319,321421,d2c,Carollia castanea è un Pipistrello della famiglia dei Fillostomidi diffuso nell'America centrale e meridionale.
345,347444,d2c,Specializzato nella farfalla ha partecipato alle Olimpiadi di Atlanta 1996 e di Sydney 2004.
82,84440,d2c,Nel 2002 Accenture è stata premiata per la sua operazione di rebranding dalla Arthur W.
190,197578,d2c,Con decreto del 12 novembre 1976 al battaglione fu assegnata la Bandiera di Guerra.
207,205145,d2c,Fu la prima volta che l'istituto del Palazzo Davanti arrivò a tanto potere.
115,118574,d2c,"La diocesi comprende la città di Sebenico, dove si trova la cattedrale di San Giacomo."
220,218773,d2c,Il monte è collocato a nord-est di Cortina d Ampezzo e ad ovest di Misurina.
204,205859,d2c,"Dopo la morte di Vittorio, sposò io 15 febbraio 1813 il barone Federico di Stein-Liebenstein-Barchfeld"
290,290022,d2c,I successivi miracoli sono indicati nella lista dei capitoli all Historia Miraculorum della Vita II.
61,60280,d2c,"Si formò presso l'università di Padova, di cui in seguito fu anche Riformatore."
236,238794,d2c,La Frenchcore è un sottogenere musicale molto veloce e ritmato proposto soprattutto in Francia.
52,53645,d2c,"In questo caso si verificheranno contrapposizioni violente fra Stati, religioni, entità terroristiche e pirati privati."
303,301955,d2c,"Giocò con il Castilla, la squadra filiale del Real Madrid, dal 1974 al 1980."
124,130678,d2c,Il cane da orso della Carelia è un cane da caccia della famiglia degli spitz.
18,22181,d2c,Breeland fu scelto dai Washington Redskins nel corso del quarto giro del Draft 2014.
381,381433,d2c,"Giulia Pincerato inizia la sua carriera pallavolistica nella squadra giovanile di Legnaro, nel 1999."
98,107981,d2c,"Nel 2012 ritorna in Spagna alla Movistar, che aveva lasciato al termine del 2008."
382,378432,d2c,A soli 16 anni debutta in Serie A1 nel San Lazzaro Pallavolo nella stagione 1985-86.
225,225952,d2c,Il progetto museografico è elaborato personalmente da Depero tra il 1957 e il 1959.
195,198878,d2c,"La ferrorhodsite è un minerale appartenente al gruppo della linnaeite, ha struttura analoga alla cuprorhodsite."
172,169410,d2c,"Il vecchio alfabeto georgiano sembra sia stato derivato da quello aramaico, con influenze greche."
163,166037,d2c,Negli ultimi anni il turismo si propone come fonte di sostentamento dell'intera isola.
26,35224,d2c,Nel giugno del 2015 arriva secondo nell'Europeo per nazioni svoltosi a Čeboksary in Russia.
326,328158,d2c,Lo stadio ospita anche gli incontri della Nazionale di rugby a 15 della Svizzera.
122,120264,d2c,Nel caso che i villi coriali riescano a penetrare il miometrio viene definita placenta increta.
95,101156,d2c,A pochi km dal traguardo si forma un gruppo di una quindicina di corridori.
63,62888,d2c,"Il 14 aprile 1577 fu eletto vescovo di Fermo, nonostante non fosse ancora stato ordinato."
377,373856,d2c,"Realizzato nel 2002, Crusader riscosse subito un grande plauso fra i fan del precedente capitolo."
60,65305,d2c,Dopo pochi giorni rifiutò la promozione al cardinalato preferendo rimanere solo vescovo di Tropea.
189,197358,d2c,"Con la totale indipendenza norvegese,venne approvata una legislazione rafforzante del sistema introdotto nel 1885."
224,225850,d2c,Nel corso degli anni altre opere sono state accolte e esposte all'interno del museo.
274,273278,d2c,Notevole è l'apparato decorativo delle sei cappelle che si aprono sulla sinistra della chiesa.
278,276352,d2c,Il Cando o Rio Cando è un piccolo torrente della Repubblica di San Marino.
47,51850,d2c,"Vento scomposto è il quarto romanzo di Simonetta Agnello Hornby, pubblicato in Italia nel 2009."
367,371454,d2c,"L Accademia ha correntemente circa 900 studenti, almeno un quarto di essi è straniero."
111,118531,d2c,"Sede vescovile è la città di Nyahururu, dove si trova la cattedrale di Maria Immacolata."
139,143723,d2c,"Il corno viene recuperato dai soldati di Gondor, spezzato in due, e portato dal Sovrintendente."
296,299168,d2c,"Esse si ritirarono subito dopo, lo Yugiri trainando lo Shirakumo rimasto senza energia motrice."
203,207609,d2c,"Tipu inviò una lettera il 19 gennaio 1790 al governatore di Bekal, Budruz Zuman Khan."
360,360599,d2c,Agli US Open esce al primo turno di qualificazioni contro la greca Maria Sakkari.
331,332398,d2c,Questa voce raccoglie le informazioni riguardanti la Pallavolo Chieri nelle competizioni ufficiali della stagione 2003-2004.
246,249372,d2c,Nel maggio 1970 Colonna di Paliano divenne presidente della catena di grandi magazzini La Rinascente.
289,291428,d2c,Processione di San Ferdinando D Aragona con le reliquie per le vie di Alvignano
262,258469,d2c,Suo figlio Tim è stato anche un pilota di Formula 1 con scarsa fortuna.
68,70680,d2c,"Phi1 Orionis è una stella gigante azzurra di magnitudine 4,4 situata nella costellazione di Orione."
372,373915,d2c,I Big Daddy sono i grossi protettori rinchiusi in scafandri corazzati che vigilano sulle Sorelline.
205,208696,d2c,Aldobrandino d Este dopo la morte del padre ereditò il titolo di signore di Ferrara.
318,323775,d2c,"In particolare, il Darwinopterus robustidens sembra essere stato uno specialista nel cibarsi di coleotteri."
181,181908,d2c,"I tedeschi, riconoscendo l'indifendibilità della propria posizione, si ritirarono dalla Marna verso nord."
96,96348,d2c,"Il tedesco Bert Grabsch dominò la gara, mantenendo una velocità media di 50 km/h."
55,55580,d2c,Oggi la villa ospita il Comando Militare Esercito Friuli Venezia Giulia con adiacente Circolo Ufficiali.
267,267289,d2c,Dal 15 dicembre 2013 la stazione è fornita da un sottopassaggio munito di ascensori.
29,34567,d2c,Nel 2000 prese parte ai Giochi olimpici di Sydney ottenendo il quattordicesimo posto nell'eptathlon.
335,340722,d2c,"Tuttavia i Rybaxel perderanno di nuovo contro i loro avversari, Cody Rhodes e Goldust."
214,213386,d2c,"Gareggiò poi nel Motomondiale, in varie classi fino al termine della stagione vittoriosa del 1955."
250,250187,d2c,"Era il figlio di Henry Brand, I visconte Hampden, e di sua moglie, Eliza Ellice."
336,339288,d2c,"Lo Shield ha quindi cominciato ad attaccare Kane, salvo ritirarsi quando gli Usos sono intervenuti."
129,134823,d2c,I Rutuli sono un gruppo etnico situato in Daghestan e in alcune località dell'Azerbaigian.
67,66347,d2c,"HD 30197 è una stella gigante arancione di magnitudine +5,99 situata nella costellazione del Toro."
379,380693,d2c,"Per il campionato 2017-18 veste la maglia del Volley Milano, sempre in Serie A1."
40,43599,d2c,L 11 luglio 2017 rinnovò il suo contratto con i Pistons per altri 2 anni.
249,250407,d2c,Scrisse anche un contributo per la bibliografia del parlamentoPerplessità e riserve sulla riforma dei bilanci.
259,256087,d2c,Appartiene al circondario di Bad Kreuznach ed è parte della comunità amministrativa di Kirn-Land.
239,239655,d2c,L'intero genere può creare diversi sottogeneri grazie alla sua combinazione fra ritmo e armonia.
178,184453,d2c,Il 23 agosto 1179 Saladino giunse al Guado di Giacobbe e diede inizio all'assedio.
45,51680,d2c,Joey è un ragazzo comune che frequenta le scuole superiori nella cittadina di Greenville.
69,70585,d2c,"GO Andromedae è una stella variabile di magnitudine 6,12 situata nella costellazione di Andromeda."
132,134137,d2c,"Era comune praticare la poligamia e durante i primi anni di matrimonio, la residenza uxorilocale."
251,247212,d2c,Abelli è stato capogruppo di Forza Italia nel consiglio regionale della Lombardia dal 2005.
301,305457,d2c,Questa pagina raccoglie i dati riguardanti il Vålerenga Fotball nelle competizioni ufficiali della stagione 1999.
293,293764,d2c,Sempre il 25 ottobre viene festeggiato a Monti di cui è anche Santo patrono.
263,258896,d2c,Il 1997 cominciò con le premesse del 1996 ed ebbe le stesse conclusioni deludenti.
33,39554,d2c,Dal 2010 non viene più utilizzata ed è stata definitivamente sostituita dal nuovo telaio.
66,71958,d2c,"HD 197540 è una stella gigante gialla di magnitudine 6,5 situata nella costellazione del Capricorno."
85,89720,d2c,L'etichetta è stata chiusa nel mese di febbraio del 2009 per problemi finanziari.
142,146607,d2c,La serpe di Zanzibar è un film muto del 1928 diretto da Tod Browning.
191,192449,d2c,"I manipoli erano unità di 60/120 uomini, tutti provenienti da una medesima classe di fanteria."
75,74639,d2c,"Esposizioni a lungo termine a solventi contenenti pseudocumene, può causare nervosia, tensione e bronchiti."
362,365970,d2c,"Fino alla finale l'Errani, partendo dalle qualificazioni, ha incontrato solo tenniste americane battendole tutte."
162,166881,d2c,"La città più grande è Kaunakakai, che è anche uno dei due porti sull'isola."
299,297634,d2c,"Dopo aver raggiunto Malta l'11 settembre, la nave venne internata ad Alessandria d Egitto."
212,214815,d2c,"È ricordato come uno dei padri fondatori della specialità, avendo anche vinto cinque titoli francesi."
101,106903,d2c,"Professionista tra il 1926 ed il 1930, conta la vittoria di una Tre Valli Varesine."
329,328110,d2c,Sarebbe il terzo campo dopo l'Estadio La Cabañera e lo Stadio San Jorge.
365,360660,d2c,"Ha raggiunto la 27a posizione della classifica mondiale nel settembre 2016, suo attuale best ranking."
325,325253,d2c,Nel 2014 lo stadio è stato ampliato in modo da contenere fino a spettatori.
24,25965,d2c,"Il bacio è un dipinto a olio su tela, alto 99 e largo 81 centimetri."
353,348182,d2c,"I primi due film TV sono stati trasmessi dalla NBC, il terzo dalla CBS."
271,270967,d2c,"La richiesta viene accolta, ma non sarà poi messa in pratica, probabilmente per motivi economici."
166,164509,d2c,"I sadlermuit, come nella vicina isola di Southampton, si estinsero contraendo malattie dagli occidentali."
198,200003,d2c,"Inoltre la calcopirite è rinvenuta in gran quantità, raramente in forma cristallina, e meno fragile."
226,224691,d2c,La produzione della miniera oscillava tra le 56 e le 84 tonnellate di rame.
222,218296,d2c,"In realtà la vetta più alta è il monte Popomanaseu, che tocca quota 2335 metri."
90,93053,d2c,"A sua volta ogni comune si divide in cantoni, attualmente sono presenti 989 cantoni."
107,108700,d2c,Segue l'elenco degli insigniti dell'ordine di Massimiliano per le scienze e le arti.
188,192890,d2c,"Il 28 agosto, la brigata venne trasferita in Estonia, nella zona del lago Peipus."
354,355430,d2c,L’8 gennaio 2018 inizia la settima edizione sempre con la conduzione di Paolo Bonolis.
171,172120,d2c,Il numero dei suoi locutori varia fortemente in funzione della metodologia impiegata per calcolarlo.
173,173312,d2c,Numerosi esempi sono stati trovati nelle carte del notaio Giacomo Zabbara risalenti al 1486-1501.
164,166959,d2c,Le isole Lupči sono un gruppo di quattro piccole isolette russe nel Mar Bianco.
208,205505,d2c,"Morì di leucemia nella capitale egiziana nell'autunno del 1988, all'età di 67 anni."
16,21619,d2c,Nella settimana 8 fece registrare il primo intercetto stagionale nella vittoria sugli Atlanta Falcons.
346,342144,d2c,Alle Olimpiadi di Atene nel 2004 è arrivato settimo nella finale dei 200m farfalla.
49,49566,d2c,"Secondo Nielsen BookScan, il romanzo ha venduto ventinovemila copie tra il 2001 e il 2005."
31,33300,d2c,"Nel 2006, ad Atene, ha preso parte ai 3000m piani della Coppa del Mondo."
229,231994,d2c,"Peraza si esibì in tutti i locali delle zone circostanti, tra cui nel Manhole Shelley."
343,342832,d2c,Dati aggiornati alla conclusione dei Campionati europei di nuoto in vasca corta 2009 di Istanbul.
358,354929,d2c,Astrolove è un programma televisivo che fa parte del palinsesto di Real Time dal 2013.
64,68783,d2c,"Con una magnitudine apparente di +3,84 è la dodicesima stella più brillante della costellazione."
201,208448,d2c,"In mancanza di eredi, gli successe come era facile prevedere, il fratello minore Leopoldo."
311,308313,d2c,"Se dovessero sorgere problemi, VirtualBox ha un ricompilatore dinamico, come gli altri software di virtualizzazione."
315,312983,d2c,"Elton si cimenta a raggiungere note abbastanza alte, in special modo durante il ritornello."
44,49504,d2c,"Farrell, oltre ad essere un evidente omaggio a Uomini e topi di John Steinbeck."
125,130479,d2c,Il Västgötaspets è un cane di piccole dimensioni ma con un carattere molto forte.
265,263629,d2c,Nei giorni seguenti Rosberg si scusò pubblicamente con Hamilton prendendosi la responsabilità per la collisione.
280,277219,d2c,"Dopo 104 km di corso il fiume sfocia nel Jijia, vicino alla città di Chiperești."
206,209239,d2c,È per questo motivo che questo clan ancora oggi in Burundi ha una pessima considerazione.
268,269233,d2c,"La stazione è stata inaugurata in concomitanza con la ferrovia, il 10 agosto 1924."
342,344851,d2c,"Nei 50m stile libero invece non riuscirà a raggiungere la finale, nuotando in 2502."
153,154098,d2c,La Grenadier Miniatures supportò il gioco con una linea di miniature prodotte su licenza.
507,125938,c2d,La pitiriasi versicolor è una malattia cronica e persistente e di norma non guarisce spontaneamente.
542,146427,c2d,The Brave Deserve the Fair è un cortometraggio muto del 1915 diretto da Tom Mix.
412,19629,c2d,"Il 4 maggio 2012, Crawford firmò con la franchigia della capitale nordamericana un contratto quadriennale."
470,99053,c2d,"Venne vinta dal kazako Aleksandr Vinokurov, al traguardo con il tempo di 6h37 48."
537,142218,c2d,"Per provargli la sua lealtà, si strappò un occhio per somigliare a suo padre."
503,118052,c2d,Il 15 luglio 1950 entrò a far parte della provincia ecclesiastica dell'arcidiocesi di Karachi.
551,158742,c2d,"Vi restò per quattro stagioni fino al 2011, totalizzando 105 punti in 128 gare disputate."
679,294635,c2d,Verso la metà degli anni 90 l'unità venne cancellata dal Lloyd s Register.
486,107804,c2d,"Professionista dal 1999 al 2007, conta la vittoria del Grand Prix de Ouest-France nel 2003."
746,360599,c2d,Agli US Open esce al primo turno di qualificazioni contro la greca Maria Sakkari.
616,228602,c2d,Hite Morgan si mostrò disponibile e disse ai Pendletones di richiamarlo quando fosse finita.
720,339327,c2d,Si tratta della rappresentativa più numerosa mai inviata da questo paese ai Giochi olimpici.
425,37254,c2d,"Heinrich Nordhoff e Wilhelm Karmann avviarono il progetto nel 1951, senza ottenere risultati stilisticamente convincenti."
704,325207,c2d,"Nel 2003 sono cominciati i lavori di risanamento, svolti con l'aiuto di giovani disoccupati."
633,242438,c2d,"Rilevò una testata che aveva chiuso in febbraio, e ne fece un quotidiano politico."
420,27487,c2d,"Il pannello centrale mostra un Giudizio Universale, basato sulla visione dell<nowiki> </nowiki>Apocalisse di Giovanni."
440,62233,c2d,Nasce a Cagliari il 23 febbraio 1926 da una nobile famiglia sarda di origine piemontese.
395,9100,c2d,Durante il 2017 ha svolto i primi voli passeggeri operati da Qatar Airways e Emirates.
686,308443,c2d,Utility Disco è un utility sviluppata dalla Apple Inc. per il sistema operativo macOS.
595,205505,c2d,"Morì di leucemia nella capitale egiziana nell'autunno del 1988, all'età di 67 anni."
511,121135,c2d,"La forma biliare è più frequente nelle donne, mentre la forma alcolica predomina negli uomini."
614,223074,c2d,"Le dimensioni della tela, comunque, la vorrebbero più proveniente dall'altare di una piccola cappella."
544,148091,c2d,Polly of the Follies è un film muto del 1922 diretto da John Emerson.
678,299004,c2d,"Inviato in seguito nell'oceano Pacifico, attraccò a Pearl Harbor il 14 aprile 1940."
510,121066,c2d,"Il virus parainfluenzale umano produce tipicamente un infiammazione del naso, della gola e dei bronchi."
450,76153,c2d,"Nell'industria dei derivati del petrolio viene aggiunto anche a vernici, lacche, resine e additivi."
397,6331,c2d,"Nel 1990 all'aeroporto sono transitati 952.457 passeggeri, il numero massimo nella sua storia."
685,307405,c2d,La riga 1 richiama la libreria pygame.py la riga 2 inizializza tutti i moduli.
692,316005,c2d,"Il brano è anche una nenia locale Comet, it makes your teeth so green."
564,173789,c2d,"La lingua lingala o mangala, è una lingua bantu parlata nella Repubblica Democratica del Congo."
408,19451,c2d,Wolff fu scelto nel corso del quinto giro del Draft 2013 dai Philadelphia Eagles.
707,329130,c2d,Nello stadio Arechi sono state disputate tre partite della Nazionale di calcio dell'Italia
518,127037,c2d,"In Gran Bretagna, per esempio, è consentito il possesso solo di esemplari registrati e castrati."
694,313032,c2d,La lettera dell FBI non fece altro che pubblicizzare ulteriormente la famigerata fama della traccia.
753,360182,c2d,"Nel circuito principale ha vinto ventidue titoli, quindici nel doppio e sette in singolare."
414,27018,c2d,Il paesaggio bucolico testimonia quel ritorno a temi giorgioneschi di Tiziano in quegli anni.
655,272576,c2d,"Grazie ai frati agostiniani, il culto della Madonna del Soccorso si estese in tutta Italia."
638,249346,c2d,Presto gli studi e l’impegno politico hanno avuto convergenza nell’interesse per le politiche di welfare.
439,60151,c2d,Dopo l'incoronazione i due cardinali riaccompagnarono l'imperatore fino ai confini dei domini pontifici.
705,326971,c2d,"La Šiaulių Arena è un palazzo dello sport che ha sede a Šiauliai, in Lituania."
667,278214,c2d,"Il Borulach è un fiume della Russia siberiana nordoccidentale, affluente di sinistra dell'Amga."
619,228445,c2d,"Lo stesso Burns si è dichiarato disgustato dall'operazione, e si dice abbia detto"
513,122677,c2d,Questo crea un microambiente tumorale scarsamente vascolarizzato e quindi con poca presenza di ossigeno.
652,265361,c2d,La stazione di Horsens è una stazione ferroviaria a servizio dell'omonima città danese.
504,119898,c2d,"Sede vescovile è la città di Chikwawa, dove si trova la cattedrale di San Michele."
710,328482,c2d,Il Barclays Center è un palazzetto dello sport di New York nel quartiere di Brooklyn.
574,190058,c2d,Suo fratello si distinse anche lui nei combattimenti e venne nominato capitano di vascello.
415,25458,c2d,"Di seguito, invece, si riporta il commento che lo stesso Gauguin fornì della sua opera"
453,72431,c2d,In pazienti affetti da queste patologie un trattamento con ibuprofene deve essere eseguito con cautela.
401,13333,c2d,"Dal disco vengono estratti tre singoli Sogno d estate, Anima di vento e L'orizzonte."
629,235205,c2d,Pochi gruppi sono anche conosciuti per inglobare stili di generi estranei all heavy metal.
535,140045,c2d,"Ner zhul, però, decise di aprire diversi portali verso altri mondi da poter conquistare."
471,97949,c2d,Partenza a Plouay con 128 ciclisti di cui 88 portarono a termine il percorso.
413,18633,c2d,Nel suo primo anno New England vinse la AFC East con un record di 10-6.
418,24253,c2d,"Tipiche dell'Angelico sono le proporzione allungate, con le dita della mano della Vergine affusolate."
647,268083,c2d,Al 2002 la stazione risultava presenziata mentre complessivamente 5 erano gli impianti impresenziati sulla linea.
615,226110,c2d,"Un altro modello unico presente, è il carro armato Obyekt 279, sviluppato nel 1957."
532,138833,c2d,Altro cambiamento dopo la terza stagione è la vistosa cicatrice sulla parte sinistra della gola.
698,320985,c2d,"In questo lo dsungariptero assomigliava moltissimo ad altri pterosauri più noti, come lo pterodattilo."
462,85481,c2d,"Il 6 agosto 2012, CEVA ha annunciato i risultati finanziari relativi al secondo trimestre 2012."
570,177529,c2d,"Bowery è una fermata della metropolitana di New York, situata sulla linea BMT Nassau Street."
457,80876,c2d,Nel 1693 ricevette il suddiaconato e solo il 5 giugno 1700 prese gli ordini sacri.
500,114580,c2d,"Dopo l'ondata rivoluzionaria, principale compito dei vescovi nell'Ottocento fu la formazione dei preti."
484,105399,c2d,"Nel 2005 corse la Classique des Alpes dove arrivò secondo, battuto solo da Alexandre Pliuschin."
555,166000,c2d,Il terreno dell'isola è mediamente collinoso con numerose strade fangose e tratturi per pecore.
492,111083,c2d,L Ordine della Corona di Tonga è un ordine cavalleresco del regno di Tonga.
569,179921,c2d,"Tiburtina è una stazione della Linea B della Metropolitana di Roma, situata nel quartiere Pietralata."
613,224892,c2d,"Nello stesso convento è ospitato anche il Museo civico Aufidenate, museo a carattere archeologico."
417,26094,c2d,Il monumento venne completato nel 1927 ed inaugurato il 28 luglio di quell'anno.
520,130250,c2d,"La coda è moderatamente lunga e attaccata sulla linea del corpo, mai ricurva sul dorso."
501,119699,c2d,"Sede vescovile è la città di Goma, dove si trova la cattedrale di San Giuseppe."
478,96943,c2d,"Fu vinta dal tedesco Rüdiger Selig, al traguardo con il tempo di 4h21m35s."
446,68855,c2d,"61 Ceti è una stella gigante gialla di magnitudine 5,96 situata nella costellazione della Balena."
404,23759,c2d,Huff fu scelto nel corso del quarto giro del Draft 2014 dai Tennessee Titans.
465,90472,c2d,"Non vengono usati utensili, invece si usa l'injera per raccogliere gli antipasti e contorni."
443,67369,c2d,"HD 153221 è una stella gigante gialla di magnitudine 6,02 situata nella costellazione dell'Altare."
728,337337,c2d,La nazionale russa si è qualificata per i Giochi vincendo il campionato europeo del 2007.
488,103890,c2d,"Nel 1968 partecipò alla sua prima Vuelta a España, piazzandosi secondo in due tappe."
718,341200,c2d,La nazionale ceca si è qualificata per i Giochi nell'ultimo torneo di qualificazione olimpica.
669,284647,c2d,Solamente nel 1984 l'autostrada A22 riuscì ad avere il suo primo utile di esercizio.
730,337655,c2d,"Il Comitato Olimpico Nazionale Gibutiano, creato nel 1983, venne riconosciuto dal CIO nel 1984."
464,91673,c2d,Per la tutela della sicurezza la Romania si avvale di diverse forze di polizia
662,281103,c2d,"Il Turuchan è un fiume della Russia siberiana nordoccidentale, affluente di sinistra dello Enisej."
674,286864,c2d,Dopo qualche chilometro sulla destra vi è un bivio con la strada per Niccioleta.
758,373183,c2d,"Se l'aeroplano del giocatore viene distrutto o arriva secondo, il tesoro sarà di Famedoro."
740,349462,c2d,Il 12 maggio 2016 la serie è stata cancellata dopo una sola stagione prodotta.
485,102418,c2d,"Professionista dal 1946 al 1953, è stato il fondatore dell'omonima impresa produttrice di biciclette."
